z_m,x_focus_cm,IR_max_z,IR_abs_max_z,delta_n_elec_max_z,delta_n_rot_max_z,delta_n_elec_applied_max_z,delta_n_rot_applied_max_z,dphi_elec_max_abs_z,dphi_rot_max_abs_z,dphi_elec_applied_max_abs_z,dphi_rot_applied_max_abs_z,alpha_R_raw_max_z,alpha_R_applied_max_z,raman_rhs_l2_norm,raman_target_loss_step_J,raman_actual_loss_step_J,raman_closure_residual_step,raman_target_loss_cumulative_J,raman_actual_loss_cumulative_J,raman_cumulative_closure_residual,raman_convolution_count_step,raman_operator_substep_count,raman_operator_walltime_step_s,raman_energy_projection_iterations,raman_energy_projection_scale_deviation,raman_energy_projection_initial_residual,gpu_allocated_step_bytes,gpu_reserved_step_bytes,raman_operator_applied
9.999999747378752e-05,-94.99000000025262,1281294239531008.0,1281294239531008.0,1.1936591270966801e-08,2.9469767071077513e-08,1.1936591270966801e-08,0.0,9.377507922181394e-06,2.3151749701355584e-05,9.377507922181394e-06,0.0,0.0,0.0,331148296192.0,1.211120648214603e-10,1.2111303626660685e-10,7.936871952551883e-06,1.211120648214603e-10,1.2111303626660685e-10,7.936871952551883e-06,4.0,2.0,14.47843074798584,2.0,1.4240164603052108e-11,0.0010212886845692992,0.0,0.0,1.0
0.00019999999494757503,-94.98000000050524,1281675820531712.0,1281675820531712.0,1.194014664918086e-08,2.947854405022099e-08,1.194014664918086e-08,0.0,9.380300980410539e-06,2.3158645490184426e-05,9.380300980410539e-06,0.0,0.0,0.0,331217436672.0,1.211372668841193e-10,1.2112941205622008e-10,6.490200757980347e-05,2.422493317055796e-10,2.4224244832282693e-10,2.848635813279543e-05,4.0,2.0,0.38154157996177673,2.0,2.57125432057137e-11,0.0018436952959746122,0.0,0.0,1.0
0.0003000000142492354,-94.96999999857508,1282131892371456.0,1282131892371456.0,1.1944408129238582e-08,2.9489033437357648e-08,1.1944408129238582e-08,0.0,9.383648830407765e-06,2.316688551218249e-05,9.383648830407765e-06,0.0,0.0,0.0,331286642688.0,1.211624967023539e-10,1.211709899084923e-10,7.002799975452945e-05,3.634118284079335e-10,3.634134382313192e-10,4.358598289400106e-06,4.0,2.0,0.3815004229545593,2.0,8.537648366058193e-11,0.006120557896792889,0.0,0.0,1.0
0.00039999998989515007,-94.96000000101048,1282641382866944.0,1282641382866944.0,1.19491518901782e-08,2.950075206342717e-08,1.19491518901782e-08,0.0,9.387375030200928e-06,2.3176091417553835e-05,9.387375030200928e-06,0.0,0.0,0.0,331355848704.0,1.211877126428007e-10,1.2119220904605044e-10,3.702611866174266e-05,4.845995826840976e-10,4.846056333995818e-10,1.2528028491942678e-05,4.0,2.0,0.381359726190567,2.0,2.2873702931747175e-11,0.0016394492704421282,0.0,0.0,1.0
0.0005000000237487257,-94.94999999762513,1283173153505280.0,1283173153505280.0,1.1954110590295386e-08,2.9512982280266442e-08,1.1954110590295386e-08,0.0,9.391271305503324e-06,2.3185701138572767e-05,9.391271305503324e-06,0.0,0.0,0.0,331425087488.0,1.2121297021661093e-10,1.2121063874825921e-10,1.9178378352080472e-05,6.058125112673451e-10,6.058162860256289e-10,6.184106041473569e-06,4.0,2.0,0.38053470849990845,2.0,2.1774360092763345e-11,0.001560330856591463,0.0,0.0,1.0
0.0006000000284984708,-94.93999999715015,1283701568700416.0,1283701568700416.0,1.1959037315989463e-08,2.952513611376162e-08,1.1959037315989463e-08,0.0,9.39514211495407e-06,2.319524901395198e-05,9.39514211495407e-06,0.0,0.0,0.0,331494359040.0,1.2123821391263334e-10,1.2124946879854548e-10,9.277123172068968e-05,7.270507529355541e-10,7.270657409463865e-10,2.0622806914616376e-05,4.0,2.0,0.38134247064590454,2.0,3.17454951215268e-11,0.002274384954944253,0.0,0.0,1.0
0.000699999975040555,-94.93000000249594,1284204750962688.0,1284204750962688.0,1.196372689804548e-08,2.953670907857031e-08,1.196372689804548e-08,0.0,9.39882556849625e-06,2.3204340322990902e-05,9.39882556849625e-06,0.0,0.0,0.0,331563630592.0,1.2126344373086795e-10,1.2126699644454675e-10,2.9287399229360744e-05,8.48314196666422e-10,8.483327373909333e-10,2.1861378627363592e-05,4.0,2.0,0.38075965642929077,2.0,1.4929946168251718e-11,0.0010694167576730251,0.0,0.0,1.0
0.0007999999797903001,-94.92000000202097,1284684310904832.0,1284684310904832.0,1.196819887638867e-08,2.9547738478186147e-08,1.196819887638867e-08,0.0,9.402338946529198e-06,2.3213005988509394e-05,9.402338946529198e-06,0.0,0.0,0.0,331632934912.0,1.2128870130467817e-10,1.2128836823777078e-10,2.841037940015667e-06,9.696029534822515e-10,9.696210501175528e-10,1.8771326722344384e-05,4.0,2.0,0.38046032190322876,2.0,2.0373924769501173e-11,0.0014590737409889698,0.0,0.0,1.0
0.0008999999845400453,-94.910000001546,1285190580174848.0,1285190580174848.0,1.1972923985581474e-08,2.9559382497268416e-08,1.1972923985581474e-08,0.0,9.406050594407134e-06,2.3222153686219826e-05,9.406050594407134e-06,0.0,0.0,0.0,331702304768.0,1.213139727562762e-10,1.21309726153207e-10,3.498081787256524e-05,1.0909169123607398e-09,1.0909307901485477e-09,1.2793890164175536e-05,4.0,2.0,0.3810204863548279,2.0,2.5075497234183786e-11,0.001795390504412353,0.0,0.0,1.0
0.0010000000474974513,-94.89999999525025,1285707049992192.0,1285707049992192.0,1.1977742353508347e-08,2.9571262771810325e-08,1.1977742353508347e-08,0.0,9.409836820850614e-06,2.3231485101860017e-05,9.409836820850614e-06,0.0,0.0,0.0,331771674624.0,1.2133927196344985e-10,1.213418532319821e-10,2.127949301211629e-05,1.2122561843241897e-09,1.2122727266472566e-09,1.3643245438288432e-05,4.0,2.0,0.3816535770893097,2.0,1.7523094086868696e-11,0.001254386967048049,0.0,0.0,1.0
