z_m,x_focus_cm,IR_max_z,delta_n_rot_max_z,delta_n_rot_applied_max_z,dphi_rot_max_abs_z,dphi_rot_applied_max_abs_z,alpha_R_raw_max_z,alpha_R_applied_max_z
9.999999747378752e-05,-94.99000000025262,1281283367895040.0,2.9469518381119997e-08,0.0,2.31515532505e-05,0.0,0.00010958044731523842,0.00010958044731523842
0.00019999999494757503,-94.98000000050524,1281664277807104.0,2.947827937305192e-08,0.0,2.315843630640302e-05,0.0,0.00010960351937683299,0.00010960351937683299
0.0003000000142492354,-94.96999999857508,1282120081211392.0,2.948876165476122e-08,0.0,2.316667087143287e-05,0.0,0.0001096266569220461,0.0001096266569220461
0.00039999998989515007,-94.96000000101048,1282628766400512.0,2.950046251726235e-08,0.0,2.317586404387839e-05,0.0,0.00010964978719130158,0.00010964978719130158
0.0005000000237487257,-94.94999999762513,1283160939692032.0,2.9512701615885817e-08,0.0,2.3185479221865535e-05,0.0,0.00010967292473651469,0.00010967292473651469
0.0006000000284984708,-94.93999999715015,1283689220669440.0,2.9524851896667315e-08,0.0,2.3195025278255343e-05,0.0,0.0001096960695576854,0.0001096960695576854
0.000699999975040555,-94.93000000249594,1284192805584896.0,2.9536435519617044e-08,0.0,2.3204125682241283e-05,0.0,0.00010971918527502567,0.00010971918527502567
0.0007999999797903001,-94.92000000202097,1284672097091584.0,2.9547457813805522e-08,0.0,2.321278407180216e-05,0.0,0.00010974235920002684,0.00010974235920002684
0.0008999999845400453,-94.910000001546,1285179171667968.0,2.9559121372813024e-08,0.0,2.3221946321427822e-05,0.0,0.0001097655258490704,0.0001097655258490704
0.0010000000474974513,-94.89999999525025,1285695507267584.0,2.9570996318284415e-08,0.0,2.323127591807861e-05,0.0,0.00010978869249811396,0.00010978869249811396
0.0010999999940395355,-94.89000000059605,1286166477275136.0,2.9581828542291078e-08,0.0,2.32397869694978e-05,0.0,0.00010981184459524229,0.00010981184459524229
0.0012000000569969416,-94.8799999943003,1286584431280128.0,2.9591442185505912e-08,0.0,2.324733759451192e-05,0.0,0.000109835084003862,0.000109835084003862
0.0013000000035390258,-94.8699999996461,1287032584273920.0,2.960175038424495e-08,0.0,2.325543755432591e-05,0.0,0.00010985824337694794,0.00010985824337694794
0.00139999995008111,-94.86000000499189,1287548785655808.0,2.9613621777002663e-08,0.0,2.3264761694008484e-05,0.0,0.0001098814609576948,0.0001098814609576948
0.001500000013038516,-94.84999999869615,1288055726014464.0,2.9625281783296487e-08,0.0,2.3273923943634145e-05,0.0,0.00010990465671056882,0.00010990465671056882
0.0015999999595806003,-94.84000000404194,1288535420174336.0,2.9636314735626e-08,0.0,2.3282589609152637e-05,0.0,0.00010992788156727329,0.00010992788156727329
0.0017000000225380063,-94.8299999977462,1288981559902208.0,2.9646576749087217e-08,0.0,2.3290653189178556e-05,0.0,0.00010995110642397776,0.00010995110642397776
0.0017999999690800905,-94.82000000309199,1289443671539712.0,2.965720469205735e-08,0.0,2.329900235054083e-05,0.0,0.00010997435310855508,0.00010997435310855508
0.0019000000320374966,-94.80999999679625,1289852096086016.0,2.9666598067024097e-08,0.0,2.3306381990551017e-05,0.0,0.00010999759251717478,0.00010999759251717478
0.0020000000949949026,-94.79999999050051,1290337964261376.0,2.9677773127900764e-08,0.0,2.331516043341253e-05,0.0,0.00011002085375366732,0.00011002085375366732
0.002099999925121665,-94.79000000748783,1290822221824000.0,2.9688910885283804e-08,0.0,2.332391159143299e-05,0.0,0.00011004412226611748,0.00011004412226611748
0.002199999988079071,-94.7800000011921,1291268361551872.0,2.969917289874502e-08,0.0,2.33319715334801e-05,0.0,0.00011006739805452526,0.00011006739805452526
0.002300000051036477,-94.76999999489635,1291758658912256.0,2.971044921196153e-08,0.0,2.3340831830864772e-05,0.0,0.0001100906592910178,0.0001100906592910178
0.002400000113993883,-94.75999998860061,1292355659366400.0,2.9724180450330095e-08,0.0,2.33516184380278e-05,0.0,0.0001101139496313408,0.0001101139496313408
0.0024999999441206455,-94.75000000558794,1292916957904896.0,2.9737091011838857e-08,0.0,2.336176112294197e-05,0.0,0.00011013725452357903,0.00011013725452357903
0.0026000000070780516,-94.7399999992922,1293435977859072.0,2.9749028129799626e-08,0.0,2.3371139832306653e-05,0.0,0.00011016055213985965,0.00011016055213985965
0.0027000000700354576,-94.72999999299645,1293908290043904.0,2.975989055187256e-08,0.0,2.3379672711598687e-05,0.0,0.00011018387885997072,0.00011018387885997072
