z_m,x_focus_cm,rho_max_z,I_onaxis_max_z,I_max_z,delta_n_plasma_min_z,E_dep_z,E_loss_from_input_z,E_dep_cumulative_z,U_rel_change_z,dphi_plasma_raw_max_abs_z,dphi_plasma_applied_max_abs_z,alpha_ion_raw_max_z,alpha_ion_applied_max_z,rho_N2_max_z,rho_O2_max_z,rho_O2_fraction_at_rho_total_max_z,dz_used_z,adaptive_rejection_count_z,safety_mode_trigger_count_z
9.999999747378752e-05,-94.99000000025262,4784.84521484375,1530467169861632.0,1530547700498432.0,-1.3734086109268183e-24,9.653725559548298e-24,6.402842700481415e-10,4.524029154767684e-12,-8.845689762893016e-07,1.0789638089184423e-21,1.0789638089184423e-21,3.97572648546139e-16,3.97572648546139e-16,0.003069082507863641,4784.84228515625,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.00019999999494757503,-94.98000000050524,4796.07958984375,1530790500368384.0,1531051419631616.0,-1.3766332770921355e-24,9.667674198074416e-24,1.57160684466362e-09,9.049032356767128e-12,-2.1712146462959936e-06,1.0814971505185818e-21,1.0814971505185818e-21,3.983902206286966e-16,3.983902206286966e-16,0.003078098874539137,4796.076171875,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0003000000142492354,-94.96999999857508,4809.609375,1531113428221952.0,1531633253482496.0,-1.3805167407209254e-24,9.681653602175838e-24,2.270098775625229e-09,1.3575009172317465e-11,-3.136198984066141e-06,1.0845480858467422e-21,1.0845480858467422e-21,3.993777816358563e-16,3.993777816358563e-16,0.003088966477662325,4809.6064453125,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.00039999998989515007,-94.96000000101048,4824.728515625,1531436624510976.0,1532260587143168.0,-1.3848564617757725e-24,9.695658249826226e-24,2.9685907065868378e-09,1.81019609024613e-11,-4.1011835492099635e-06,1.0879573785960391e-21,1.0879573785960391e-21,4.0047344522290936e-16,4.0047344522290936e-16,0.003101116279140115,4824.7255859375,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0005000000237487257,-94.94999999762513,4840.55712890625,1531759552364544.0,1532898389786624.0,-1.3893998075517797e-24,9.709687352164677e-24,3.725290298461914e-09,2.262988928192211e-11,-5.146583134774119e-06,1.0915267154457873e-21,1.0915267154457873e-21,4.016255159102936e-16,4.016255159102936e-16,0.0031138507183641195,4840.55419921875,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0006000000284984708,-94.93999999715015,4856.361328125,1532081943347200.0,1533517938819072.0,-1.39393605357964e-24,9.723738542608473e-24,4.48198989033699e-09,2.715879257597642e-11,-6.191982720338274e-06,1.0950903977405668e-21,1.0950903977405668e-21,4.027700427104914e-16,4.027700427104914e-16,0.003126575844362378,4856.35791015625,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.000699999975040555,-94.93000000249594,4871.41015625,1532403931676672.0,1534098296274944.0,-1.398255658681404e-24,9.7378094545749e-24,5.296897143125534e-09,3.1688672519347705e-11,-7.317798008443788e-06,1.0984839385153083e-21,1.0984839385153083e-21,4.038638798827519e-16,4.038638798827519e-16,0.0031386998016387224,4871.4072265625,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0007999999797903001,-94.92000000202097,4885.82763671875,1532725651570688.0,1534680398561280.0,-1.4023939243825802e-24,9.75190797667301e-24,6.05359673500061e-09,3.621952737731249e-11,-8.363197594007943e-06,1.1017350046996796e-21,1.1017350046996796e-21,4.0490835091605527e-16,4.0490835091605527e-16,0.0031503234058618546,4885.82421875,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0008999999845400453,-94.910000001546,4901.076171875,1533046566158336.0,1535308940181504.0,-1.4067707218999727e-24,9.766028586876467e-24,6.9267116487026215e-09,4.075135714987077e-11,-9.569427675160114e-06,1.1051734789915825e-21,1.1051734789915825e-21,4.060195522637345e-16,4.060195522637345e-16,0.0031626287382096052,4901.0732421875,0.9999993443489075,9.999999747378752e-05,0.0,0.0
0.0010000000474974513,-94.89999999525025,4916.6552734375,1533367749181440.0,1535900974579712.0,-1.4112425771564443e-24,9.780172074046174e-24,7.566995918750763e-09,4.5284165306469504e-11,-1.0453996765136253e-05,1.108686573214232e-21,1.108686573214232e-21,4.0714330028694494e-16,4.0714330028694494e-16,0.0031752088107168674,4916.65185546875,0.9999993443489075,9.999999747378752e-05,0.0,0.0
