substeps,dz_m,field_error_to_16_substeps,closure_residual,estimated_order
1,8e-05,3.536462060445461e-08,6.048807420682849e-06,2.0171141092239475
2,4e-05,8.736895710924993e-09,7.560714774978855e-07,2.0704084758112584
4,2e-05,2.0801856554191905e-09,9.450092637984816e-08,2.3219370371220065
8,1e-05,4.160345523752326e-10,1.1812402266705459e-08,
