waveform,source_relative_l2_error,one_step_field_relative_error,one_step_energy_difference,temporal_centroid_difference_fs,spectral_centroid_difference_rad_s,rms_bandwidth_difference,front_back_asymmetry_difference,peak_phase_difference_rad,peak_amplitude_difference,principal_observable_error,gate_error,production_split_update,full_reference_update
40fs_tl,0.016493745311686382,3.983602006742902e-05,2.4927085783223905e-05,-0.0006559973973234578,-262899963.5081253,3.0095231863585663e-05,-0.020834812471537845,3.637165504243868e-05,3.171746669723582e-05,3.0095231863585663e-05,0.016493745311686382,raman_convolve_intensity->shock_intensity->kerr_phase_from_deltan->apply_nonlinear,Eq27 Heun with stage recomputation
120fs_tl,0.005767823762182656,3.6478216631182114e-05,1.4581205481443326e-05,-0.0029806529207562636,125292348.74972153,2.281346148199478e-05,-0.006857921058466276,3.159222177084016e-05,3.2834428544646714e-05,2.483877433963553e-05,0.005767823762182656,raman_convolve_intensity->shock_intensity->kerr_phase_from_deltan->apply_nonlinear,Eq27 Heun with stage recomputation
120fs_positive_chirp,0.1474881870531602,0.0008521222444749085,1.4581396728749302e-05,-0.0029806228409130667,-5858610928.855919,-9.723041412546962e-06,-0.006857921344010087,0.0020365067493169175,3.2834466738013125e-05,2.483852367427556e-05,0.1474881870531602,raman_convolve_intensity->shock_intensity->kerr_phase_from_deltan->apply_nonlinear,Eq27 Heun with stage recomputation
120fs_negative_chirp,0.12066638549381968,0.0008396324943016469,1.4580869406951843e-05,-0.002980699205368244,6109380805.440289,-1.0973551057688045e-05,-0.006857920474639512,0.0019819639886336842,3.2834389906668046e-05,2.483916004473537e-05,0.12066638549381968,raman_convolve_intensity->shock_intensity->kerr_phase_from_deltan->apply_nonlinear,Eq27 Heun with stage recomputation
120fs_tail,0.005167953387942311,3.3966244487060533e-05,1.1862994877793677e-05,-0.0034318694483801344,118246895.79982376,2.092596484000798e-05,8.802329886692384e-05,2.795859562838101e-05,3.266069412106535e-05,2.8598912069834456e-05,0.005167953387942311,raman_convolve_intensity->shock_intensity->kerr_phase_from_deltan->apply_nonlinear,Eq27 Heun with stage recomputation
120fs_double,0.005620576693697371,3.4186064164992026e-05,1.1693940300878711e-05,-0.003332935443952242,86722666.67959213,2.295619261586079e-05,0.00010795815362185657,3.067112518746395e-05,3.283442854091262e-05,2.7774462032935354e-05,0.005620576693697371,raman_convolve_intensity->shock_intensity->kerr_phase_from_deltan->apply_nonlinear,Eq27 Heun with stage recomputation
