case,dz_m,field_energy_change_J,target_energy_loss_J,global_closure_residual,global_residual_over_U0,local_closure_residual,maximum_local_target_loss_J_m2,maximum_local_actual_loss_J_m2,minimum_after_fluence,maximum_target_over_available,clipping_count,finite,full_plus_legacy_energy_change_J,double_counting_extra_loss_J,double_counting_detected
40fs_tl,1e-05,-0.043079152310383506,0.04307915230641236,9.218247450061377e-11,1.8653198203903976e-16,9.218247450061377e-11,0.04307915230641236,0.043079152310383506,21289.29730947222,2.0235080805711914e-06,0,True,-0.08615817386089475,0.04307902155051124,True
120fs_tl,1e-05,-0.11954997639986686,0.1195499778203192,1.1881661251495493e-08,2.2240431332540152e-14,1.1881661251495493e-08,0.1195499778203192,0.11954997639986686,63867.90161589717,1.8718284305354057e-06,0,True,-0.23909961855679285,0.11954964215692598,True
120fs_positive_chirp,1e-05,-0.11954997503198683,0.11954997595223986,7.697642924889879e-09,1.44086666497698e-14,7.697642924889879e-09,0.11954997595223986,0.11954997503198683,63867.90161589854,1.8718284012863495e-06,0,True,-0.23909961533354362,0.11954964030155679,True
120fs_negative_chirp,1e-05,-0.11954997765860753,0.1195499798242045,1.8114574078778293e-08,3.390737533604909e-14,1.8114574078778293e-08,0.1195499798242045,0.11954997765860753,63867.90161589591,1.871828461910815e-06,0,True,-0.23909962182369782,0.11954964416509029,True
120fs_tail,1e-05,-0.10489269440586213,0.10489269633950368,1.8434472750831355e-08,2.531528028373538e-14,1.8434472750831355e-08,0.10489269633950368,0.10489269440586213,76382.28277038586,1.373257625857171e-06,0,True,-0.20978517468029168,0.10489248027442954,True
120fs_double,1e-05,-0.11043716232234146,0.1104371637483572,1.2912462504918147e-08,1.9312742836210584e-14,1.2912462504918147e-08,0.1104371637483572,0.11043716232234146,73837.96363362415,1.4956669054299034e-06,0,True,-0.22087407829531003,0.11043691597296856,True
2d_gaussian_16x16,1e-05,-2.1024709711025938e-09,2.1024709823994387e-09,5.373127625201897e-09,5.345181578959808e-15,6.90179552489504e-08,0.11537400048576214,0.11537399906228529,1169.7835721074412,1.8388456718669722e-06,0,True,-4.204938817822404e-09,2.1024678467198105e-09,True
