lag_index,lag_fs,dimensionless_weight,equivalent_kernel_1_s,continuous_kernel_1_s
272,680.0,-9.552303626069451e-06,-3820921450.4277806,-3821190778.3988724
273,682.5,-9.28245687362681e-06,-3712982749.4507236,-3713211986.581531
274,685.0,-9.005725272433898e-06,-3602290108.9735594,-3602481188.8694143
275,687.5,-8.723253633879806e-06,-3489301453.5519223,-3489456286.241094
276,690.0,-8.436129482213619e-06,-3374451792.8854475,-3374572261.391844
277,692.5,-8.145383863534506e-06,-3258153545.4138026,-3258241502.614832
278,695.0,-7.85199224908642e-06,-3140796899.6345677,-3140854165.3941884
279,697.5,-7.556875524599672e-06,-3022750209.839869,-3022778568.4070063
280,700.0,-7.2609010577206736e-06,-2904360423.088269,-2904361620.750525
281,702.5,-6.96488383587105e-06,-2785953534.3484197,-2785929277.3310213
282,705.0,-6.6695876671779615e-06,-2667835066.871185,-2667787019.4711556
283,707.5,-6.375726437418662e-06,-2550290574.967465,-2550220357.913089
284,710.0,-6.083965416222497e-06,-2433586166.488999,-2433495355.514462
285,712.5,-5.7949226060716465e-06,-2317969042.4286585,-2317859167.054146
286,715.0,-5.509170127938856e-06,-2203668051.1755424,-2203540593.68292
287,717.5,-5.227235637693721e-06,-2090894255.0774884,-2090750649.671874
288,720.0,-4.949603767699263e-06,-1979841507.079705,-1979683139.2274613
289,722.5,-4.676717588306914e-06,-1870687035.3227656,-1870515241.256433
290,725.0,-4.408980084239891e-06,-1763592033.6959565,-1763408100.0769696
291,727.5,-4.1467556411319205e-06,-1658702256.452768,-1658507420.1828344
292,730.0,-3.89037153776e-06,-1556148615.104,-1555944063.2762716
293,732.5,-3.6401194397760795e-06,-1456047775.9104319,-1455834645.8918653
294,735.0,-3.396256891002628e-06,-1358502756.4010513,-1358282136.0373936
295,737.5,-3.159008798611037e-06,-1263603519.4444149,-1263376447.379643
296,740.0,-2.9285689087490262e-06,-1171427563.4996104,-1171195029.6017838
297,742.5,-2.705101269424217e-06,-1082040507.7696867,-1081803453.6553683
298,745.0,-2.4887416776842437e-06,-995496671.0736974,-995255990.7234948
299,747.5,-2.2795991083609473e-06,-911839643.344379,-911596183.8021731
300,750.0,-2.0777571218650536e-06,-831102848.7460214,-830857410.89492
