t_fs,I_W_m-2,I_R_continuous_W_m-2,I_R_iir_fp64_W_m-2,I_R_iir_fp32_W_m-2,fp64_error_over_response_peak,fp32_error_over_response_peak,Q_gaussian_dimensionless,p_rot_over_A_gaussian,delta_n_elec,delta_n_rot,rot_over_electronic_peak,rot_over_instantaneous_electronic,eq10_power_density_W_m-3
-300.0,14901161193.84765,354511548.30391306,357161657.87520415,357192928.0,6.329634114179946e-12,6.4043210066792905e-12,3.0203208225054965e-11,1.2980624840692534e-15,1.1622905731201167e-13,8.15376561099e-15,2.090709131023077e-09,nan,46.82004680227378
-297.5,19866742193.840244,479284285.5367479,482810884.08693683,482852544.0,8.423077570871392e-12,8.522579874389331e-12,4.0833431645090675e-11,1.7549243550335455e-15,1.549605891119539e-13,1.1023538567345201e-14,2.8265483506013336e-09,nan,83.68871606065437
-295.0,26423354804.580067,646473089.2411584,651154651.006508,651209920.0,1.1181640705958054e-11,1.1313647514451246e-11,5.5077363261256914e-11,2.3670948608560165e-15,2.0610216747572452e-13,1.4868881052546644e-14,3.812533603217088e-09,nan,148.87456742284684
-292.5,35059362401.07644,869966764.3128486,876166422.3562274,876239680.0,1.4807526252019423e-11,1.4982497915897304e-11,7.411828319029193e-11,3.1854285834816684e-15,2.734630267283962e-13,2.0009235579195517e-14,5.130573225434748e-09,nan,263.5679717246394
-290.0,46406073959.85418,1168020107.9905486,1176210159.9304461,1176307072.0,1.956146746431526e-11,1.9792936362118226e-11,9.951143961732638e-11,4.2767664130401864e-15,3.619673768868626e-13,2.686446248378262e-14,6.888323713790415e-09,nan,464.39040094964577
-287.5,61277409753.85833,1564566160.7806988,1575359285.7640421,1575487104.0,2.5778757540162892e-11,2.6084044036803492e-11,1.3329584822276062e-10,5.728740422900552e-15,4.77963796080095e-13,3.598502169795607e-14,9.226928640501556e-09,nan,814.3146910334183
-285.0,80719920810.27588,2090903638.5218682,2105092549.4971068,2105260800.0,3.388939684791147e-11,3.429125348598321e-11,1.7813805579800904e-10,7.655952489994464e-15,6.296153823201518e-13,4.809078368600297e-14,1.2330970175898197e-08,nan,1421.0838194502824
-282.5,106075677011.43742,2787860904.427691,2806468570.1829896,2806689280.0,4.4443338202282616e-11,4.49704908914459e-11,2.3751650348703234e-10,1.0207897791071816e-14,8.273902806892119e-13,6.41208008018369e-14,1.6441230974829975e-08,nan,2468.11536127108
-280.0,139061098048.22357,3708563482.142866,3732906552.8354144,3733195008.0,5.814202264262646e-11,5.883098119360548e-11,3.159573097206197e-10,1.357909819578578e-14,1.0846765647761438e-12,8.529696008928592e-14,2.187101540750921e-08,nan,4266.084881104809
-277.5,181865471690.2421,4921963749.44334,4953732424.401044,4954108928.0,7.58776508537381e-11,7.677690802026464e-11,4.19334988413884e-10,1.8022026423872963e-14,1.4185506791838883e-12,1.1320516623719683e-13,2.9026965701845344e-08,nan,7338.57505971719
-275.0,237273703657.23502,6517330357.510814,6558688664.538996,6559179264.0,9.878193487025253e-11,9.995370343348894e-11,5.552549325998876e-10,2.3863544287471274e-14,1.850734888526433e-12,1.4989859822274873e-13,3.843553800583301e-08,nan,12563.54291909704
-272.5,308818793727.6778,8609942598.301743,8663653932.115835,8664291328.0,1.2828642804461795e-10,1.2980881141183922e-10,7.335385556448682e-10,3.152575291359522e-14,2.4087865910758868e-12,1.9802867976094008e-13,5.07765845540872e-08,nan,21405.75616120658
-270.0,400970656992.7767,11348293168.561789,11417876988.054827,11418702848.0,1.6619694612985338e-10,1.6816946505478099e-10,9.66836942855261e-10,4.155236603943053e-14,3.127571124543658e-12,2.6101074287692115e-13,6.692583150690287e-08,nan,36296.687473115715
-267.5,519369233217.16003,14923173638.827957,15013100477.900234,15014170624.0,2.147850770166263e-10,2.1734105935547505e-10,1.2714049033059296e-09,5.464197692992332e-14,4.0510800190938486e-12,3.4323299369304304e-13,8.80084599212931e-08,nan,61252.14284193589
-265.0,671111379413.1111,19579102865.47551,19695036303.050762,19696418816.0,2.769003400463048e-10,2.8020239261861716e-10,1.6680746326457537e-09,7.168990410326232e-14,5.234668759422266e-12,4.5031936590593675e-13,1.1546650407844532e-07,nan,102871.09292085681
-262.5,865102851629.448,25628662415.00754,25777758413.465893,25779535872.0,3.5610720717103554e-10,3.603525645313141e-10,2.183477043705571e-09,9.384068123297803e-14,6.747802242709694e-12,5.894592355451735e-13,1.5114339372953165e-07,nan,171942.43819654643
-260.0,1112488784385.7888,33470428075.81676,33661704174.22649,33663985664.0,4.5685194711840713e-10,4.623011540712072e-10,2.8515694718328054e-09,1.2255371431147373e-13,8.677412518209153e-12,7.698198457437855e-13,1.973897040368681e-07,nan,286016.0108980999
-257.5,1427178504712.4624,43611336477.02576,43856125761.1243,43859046400.0,5.846651097754266e-10,5.916408875557531e-10,3.7155412366407384e-09,1.5968517818894205e-13,1.1131992336757206e-11,1.0030607389715925e-12,2.571950612747673e-07,nan,473494.5824387443
-255.00000000000003,1826483308217.1794,56694505018.471466,57007012632.11563,57010745344.0,7.464064405832836e-10,7.553218079845627e-10,4.830183807782085e-09,2.0758988069484423e-13,1.4246569804094e-11,1.3039736154248438e-12,3.343522090832933e-07,nan,780111.9759935043
-252.49999999999997,2331889013383.221,73533736627.47884,73931719892.72052,73936478208.0,9.505601126217702e-10,9.619250746766587e-10,6.26483049579567e-09,2.6924760360057874e-13,1.8188734304389124e-11,1.6912759424320132e-12,4.336604980594906e-07,nan,1279133.8237978702
-250.0,2969988733430.6533,95156193813.10266,95661790843.83931,95667847168.0,1.2075893949621381e-09,1.2220545764887125e-09,8.106992140005002e-09,3.484193558899869e-13,2.3165912120759097e-11,2.188592457701361e-12,5.611775532567593e-07,nan,2087334.0696036676
-247.5,3773605397010.714,122855025271.22972,123495761356.72691,123503443968.0,1.530361245770421e-09,1.5487107204211696e-09,1.0466840720743831e-08,4.4984006881279663e-13,2.943412209668357e-11,2.825665581238284e-12,7.245296362149446e-07,nan,3389882.9472431354
-245.00000000000003,4783138141188.276,158254079786.6622,159064085845.97745,159073812480.0,1.9346528314436603e-09,1.957884336733948e-09,1.3482722769198606e-08,5.794555492050273e-13,3.7308477501268554e-11,3.6398438350932305e-12,9.332932910495463e-07,nan,5478908.053233797
-242.49999999999997,6048171819222.974,203387253980.47232,204408737106.9633,204421005312.0,2.439753629260874e-09,2.4690555305714295e-09,1.7327919532336823e-08,7.447130153954477e-13,4.717574018993919e-11,4.677906841550863e-12,1.1994632927053497e-06,nan,8812917.102967203
-240.0,7629394531250.003,260795500882.02338,262080513467.41544,262095962112.0,3.069178567467898e-09,3.1060767655045397e-09,2.2218911781527184e-08,9.549162991406781e-13,5.950927734375002e-11,5.998296520286538e-12,1.53802474879142e-06,nan,14107871.631612644
-237.5,9600874308318.928,333645084388.1179,335257645593.21967,335277031424.0,3.8515095849574595e-09,3.897811525514259e-09,2.842545470028382e-08,1.221658840481715e-12,7.488681960488764e-11,7.673836940926712e-12,1.967650497673516e-06,nan,22476010.06068191
-235.0,12052752857276.297,425871310091.15955,427889941564.43634,427914264576.0,4.821385038425141e-09,4.879479150993449e-09,3.628282327416149e-08,1.5593499656514741e-12,9.401147228675511e-11,9.79504013209667e-12,2.511548751819659e-06,nan,35636298.36518427
-232.50000000000003,15094421588042.805,542352705987.22015,544873452763.0282,544903823360.0,6.020658526051245e-09,6.093196948138855e-09,4.620665190943574e-08,1.9858526588023185e-12,1.1773648838673388e-10,1.2474112237706064e-11,3.1984903173605293e-06,nan,56231715.53389894
-229.99999999999997,18858252959126.137,689121477965.3552,692261495428.0118,692299366400.0,7.499750903155761e-09,7.59020353908833e-09,5.8710864542844885e-08,2.523254155732987e-12,1.4709437308118386e-10,1.584979399320317e-11,4.064049741846966e-06,nan,88304974.17235298
