closure_status,pulse,signed_exchange_J_m3,target_positive_deposition_J_m3
failed_positive_clipping_not_signed_exchange,40fs,-171.86739978887235,15.734728387951188
failed_positive_clipping_not_signed_exchange,120fs,-477.9535082649229,90.45913893566568
