alpha_eq10_m_inv,alpha_eq11_m_inv,boxcar_edge_method,dt_fs,path,pulse_fs,relative_error,u_R_signed_J_m3
0.23617453995200305,0.22504159660782488,analytic_distributional_flux,2.5000000000000004,direct,40.00000000000001,0.049470602377476476,-4723.490799040062
0.23617453995200305,0.22504159660782488,analytic_distributional_flux,2.5000000000000004,fft_linear,40.00000000000001,0.049470602377476476,-4723.490799040062
0.24663074922349756,0.22504159660782488,analytic_distributional_flux,2.5000000000000004,iir,40.00000000000001,0.0959340537087267,-4932.614984469952
0.230651140490132,0.22504159660782488,analytic_distributional_flux,1.2500000000000002,direct,40.00000000000001,0.02492669784992124,-4613.022809802641
0.230651140490132,0.22504159660782488,analytic_distributional_flux,1.2500000000000002,fft_linear,40.00000000000001,0.02492669784992124,-4613.022809802641
0.23608994734617378,0.22504159660782488,analytic_distributional_flux,1.2500000000000002,iir,40.00000000000001,0.04909470473408797,-4721.798946923476
0.2278571365263293,0.22504159660782488,analytic_distributional_flux,0.6250000000000001,direct,40.00000000000001,0.012511197756079725,-4557.142730526587
0.2278571365263293,0.22504159660782488,analytic_distributional_flux,0.6250000000000001,fft_linear,40.00000000000001,0.012511197756079725,-4557.142730526587
0.2306297983031779,0.22504159660782488,analytic_distributional_flux,0.6250000000000001,iir,40.00000000000001,0.02483186121849042,-4612.595966063559
0.2264520585567121,0.22504159660782488,analytic_distributional_flux,0.31250000000000006,direct,40.00000000000001,0.006267561064922597,-4529.041171134243
0.2264520585567121,0.22504159660782488,analytic_distributional_flux,0.31250000000000006,fft_linear,40.00000000000001,0.006267561064922597,-4529.041171134243
0.22785177675477317,0.22504159660782488,analytic_distributional_flux,0.31250000000000006,iir,40.00000000000001,0.012487380952266893,-4557.035535095464
0.2933732185845334,0.2913646659968954,analytic_distributional_flux,2.5000000000000004,direct,120.00000000000001,0.006893603864990933,-17602.393115072005
0.29337321858453347,0.2913646659968954,analytic_distributional_flux,2.5000000000000004,fft_linear,120.00000000000001,0.006893603864991124,-17602.39311507201
0.2950424148862846,0.2913646659968954,analytic_distributional_flux,2.5000000000000004,iir,120.00000000000001,0.012622494484037202,-17702.544893177077
0.29239074141831245,0.2913646659968954,analytic_distributional_flux,1.2500000000000002,direct,120.00000000000001,0.003521619266723168,-17543.44448509875
0.2923907414183123,0.2913646659968954,analytic_distributional_flux,1.2500000000000002,fft_linear,120.00000000000001,0.0035216192667225964,-17543.44448509874
0.29333080055286054,0.2913646659968954,analytic_distributional_flux,1.2500000000000002,iir,120.00000000000001,0.006748019871380235,-17599.848033171635
0.29188315359410505,0.2913646659968954,analytic_distributional_flux,0.6250000000000001,direct,120.00000000000001,0.0017795143259243097,-17512.989215646307
0.2918831535941049,0.2913646659968954,analytic_distributional_flux,0.6250000000000001,fft_linear,120.00000000000001,0.0017795143259237381,-17512.989215646296
