case,source,feature,value,unit
40 fs,current_ft90_npz,relative_0.1_rising_cm,-15.228923167887125,cm
40 fs,current_ft90_npz,relative_0.1_falling_cm,5.15834462064344,cm
40 fs,current_ft90_npz,relative_0.25_rising_cm,-14.587336402210617,cm
40 fs,current_ft90_npz,relative_0.25_falling_cm,3.4410492138401683,cm
40 fs,current_ft90_npz,relative_0.5_rising_cm,-14.001690616125172,cm
40 fs,current_ft90_npz,relative_0.5_falling_cm,1.0662383021165003,cm
40 fs,current_ft90_npz,relative_0.75_rising_cm,-13.43335970747666,cm
40 fs,current_ft90_npz,relative_0.75_falling_cm,-5.186982378268123,cm
40 fs,current_ft90_npz,relative_0.9_rising_cm,-12.86011381663077,cm
40 fs,current_ft90_npz,relative_0.9_falling_cm,-8.559259431439537,cm
40 fs,current_ft90_npz,rise_10_90_cm,2.3688093512563544,cm
40 fs,current_ft90_npz,fwhm_cm,15.067928918241673,cm
40 fs,current_ft90_npz,post_peak_decay_to_10pct_cm,16.24834429639417,cm
