case,final,max_abs,metric
production,-0.05080492049455643,0.05080492049455643,U_rel_change_z
production,7.977016502991319e-05,7.977016502991319e-05,E_dep_cumulative_z
production,0.00011032354086637497,0.00011032354086637497,E_loss_from_input_z
raman_off,-0.03593730181455612,0.03593730181455612,U_rel_change_z
raman_off,4.434540824149735e-05,4.434540824149735e-05,E_dep_cumulative_z
raman_off,7.803831249475479e-05,7.803831249475479e-05,E_loss_from_input_z
historical_fr_mixture,-0.03408367186784744,0.03408367186784744,U_rel_change_z
historical_fr_mixture,4.0478545997757465e-05,4.0478545997757465e-05,E_dep_cumulative_z
historical_fr_mixture,7.401313632726669e-05,7.401313632726669e-05,E_loss_from_input_z
raman_off_kerr085,-0.03408045694231987,0.03408045694231987,U_rel_change_z
raman_off_kerr085,4.046978574478999e-05,4.046978574478999e-05,E_dep_cumulative_z
raman_off_kerr085,7.400615140795708e-05,7.400615140795708e-05,E_loss_from_input_z
