I_max_peak_W_m-2,case,peak_x_cm
6.79441973433598e+17,production,-11.299998760223385
5.793286909455237e+17,raman_off,-8.380002975463864
5.4329944724996096e+17,historical_fr_mixture,-7.830001115798946
5.43276666743423e+17,raman_off_kerr085,-7.830001115798946
