candidate_minus_historical_cm,candidate_minus_raman_off_cm,threshold_m-3,x_historical_fr_mixture_cm,x_production_cm,x_pycap_cm,x_raman_off_cm,x_raman_off_kerr085_cm
-3.2959223226214363e-06,0.0014764521973198441,1e+19,-19.24691231288658,-19.19399851718201,,-19.24839206100622,-19.2469156088089
0.0001383008423729848,0.07965401907675584,1e+20,-17.82963146823811,-18.327101012541323,,-17.90914718647249,-17.829493167395736
0.0004394235050018125,0.2540381513705814,1e+21,-15.791170549320327,-17.29790221064008,,-16.044769277185907,-15.790731125815325
0.0010359697547688285,0.619664027218148,1e+22,-13.395007613340857,-16.411900580443586,-14.027210012757275,-14.013635670804236,-13.393971643586088
