candidate_error_to_pycap_cm,candidate_minus_current_cm,candidate_onset_improvement_cm,current_error_to_pycap_cm,family,threshold_m3,x_candidate_complete_eq27_cm,x_current_full_eq27_cm,x_pycap_cm,x_raman_off_cm
,0.022125953844849278,,,rho_total,1e+19,-19.166024172511243,-19.188150126356092,,-19.279733495058046
,0.024445520203819626,,,rho_total,1e+20,-18.290615518478507,-18.315061038682327,,-17.948662683053833
,0.028394219339880067,,,rho_total,1e+21,-17.24817147095778,-17.27656569029766,,-16.097403396461612
2.3206499228174504,0.03210538079646241,0.03210538079646241,2.352755303613913,rho_total,1e+22,-16.347859935574725,-16.379965316371187,-14.027210012757275,-14.086542891510392
