case,crossings,fall_90_10_cm,fwhm_cm,intensity_peak_x_cm,peak_top_center_cm,peak_x_cm,post_peak_half_distance_cm,post_peak_plus_10cm_tail_area_above_half_m3_cm,post_peak_plus_5cm_tail_area_above_half_m3_cm,post_peak_tail_area_above_half_m3_cm,rho_peak_m3,rise_10_90_cm,rmse_vs_pycap_m3
current_full_eq27,"{'10000000000000000000': -19.188150126356092, '100000000000000000000': -18.315061038682327, '1000000000000000000000': -17.27656569029766, '10000000000000000000000': -16.379965316371187}",13.373826838406812,11.97673298624553,-11.58999919891357,-14.354999065399166,-14.349998235702511,10.606062297897566,9.164278691004416e+20,5.548901770959217e+22,1.6334413131062895e+23,6.386969863459744e+22,1.5097147633447232,1.8351075059873155e+22
raman_off,"{'10000000000000000000': -19.279733495058046, '100000000000000000000': -17.948662683053833, '1000000000000000000000': -16.097403396461612, '10000000000000000000000': -14.086542891510392}",15.084548346754591,12.90143147291574,-7.894999980926509,-10.35999774932861,-10.36999940872192,9.489563112416544,0.0,1.521233200731306e+22,6.654757133159687e+22,2.5239478355676197e+22,3.281193645715957,2.1256455164723225e+22
candidate_complete_eq27,"{'10000000000000000000': -19.166024172511243, '100000000000000000000': -18.290615518478507, '1000000000000000000000': -17.24817147095778, '10000000000000000000000': -16.347859935574725}",13.13844166923968,11.937001540198006,-11.310000419616696,-14.30499970912933,-14.330000877380368,10.580717596520019,8.874281669981372e+20,5.631712314160339e+22,1.6530681266274902e+23,6.363858290892004e+22,1.5185769001684069,1.8162163471727834e+22
pycap,"{'10000000000000000000': None, '100000000000000000000': None, '1000000000000000000000': None, '10000000000000000000000': -14.027210012757275}",9.797251109048728,8.73799136602939,,-12.044643952837454,-12.184211090182039,7.491321874245567,0.0,1.9892362416107416e+22,1.3525016584404954e+23,6.4546415332439435e+22,1.4366877386863646,0.0
