case,rho_peak_m3,peak_top_center_cm,fwhm_cm,rho_10000000000000000000_x_cm,rho_100000000000000000000_x_cm,rho_1000000000000000000000_x_cm,rho_10000000000000000000000_x_cm
talebpour_full,6.460902306022546e+22,-14.405001401901242,12.075501620625838,-19.19399851718201,-18.327101012541323,-17.29790221064008,-16.411900580443586
raman_phase_off,2.4977816965526158e+22,-10.269997715950009,12.841942864692358,-19.24839206100622,-17.90914718647249,-16.044769277185907,-14.013635670804236
pycap_120fs,6.4546415332439435e+22,-12.044643952837454,8.73799136602939,,,,-14.027210012757275
