abs_delta_cm,delta_full_minus_off_cm,effect_resolved,family,full_error_to_pycap_cm,improves_vs_pycap,off_error_to_pycap_cm,pycap_comparison_status,threshold,x_full_cm,x_off_cm,x_pycap_cm
0.054393543824211577,0.054393543824211577,False,rho_total,,,,not_available_in_pycap,1e+19,-19.19399851718201,-19.24839206100622,
0.4179538260688318,-0.4179538260688318,True,rho_total,,,,not_available_in_pycap,1e+20,-18.327101012541323,-17.90914718647249,
1.2531329334541716,-1.2531329334541716,True,rho_total,,,,not_available_in_pycap,1e+21,-17.29790221064008,-16.044769277185907,
2.39826490963935,-2.39826490963935,True,rho_total,2.3846905676863113,True,0.013574341953038527,comparable_to_pycap,1e+22,-16.411900580443586,-14.013635670804236,-14.027210012757275
0.012249158638233837,-0.012249158638233837,False,I_onaxis_max_z,,,,not_available_in_pycap,1e+16,-56.36688406443704,-56.354634905798804,
0.12042912844037801,0.12042912844037801,True,I_onaxis_max_z,,,,not_available_in_pycap,3e+16,-37.87043414441722,-37.990863272857595,
0.3185917810669707,0.3185917810669707,True,I_onaxis_max_z,,,,not_available_in_pycap,1e+17,-19.91548672096387,-20.23407850203084,
1.3001721333387852,-1.3001721333387852,True,I_onaxis_max_z,,,,not_available_in_pycap,3e+17,-17.225172110934626,-15.92499997759584,
3.2060148726926503,-3.2060148726926503,True,I_onaxis_max_z,,,,not_available_in_pycap,5e+17,-16.01118173214129,-12.805166859448638,
0.012249158638233837,-0.012249158638233837,False,I_max_z,,,,not_available_in_pycap,1e+16,-56.36688406443704,-56.354634905798804,
0.12042912844037801,0.12042912844037801,True,I_max_z,,,,not_available_in_pycap,3e+16,-37.87043414441722,-37.990863272857595,
0.3185917810669707,0.3185917810669707,True,I_max_z,,,,not_available_in_pycap,1e+17,-19.91548672096387,-20.23407850203084,
1.3001721333387852,-1.3001721333387852,True,I_max_z,,,,not_available_in_pycap,3e+17,-17.225172110934626,-15.92499997759584,
3.2060148726926503,-3.2060148726926503,True,I_max_z,,,,not_available_in_pycap,5e+17,-16.01118173214129,-12.805166859448638,
