U0_J,case,metric,peak,peak_x_cm,threshold_fraction
0.00217151059769094,full,dphi_plasma_applied_max_abs_z,0.01456908043473959,-14.440001249313351,
0.00217151059769094,full,alpha_ion_applied_max_z,6.762133598327637,-11.289997100830075,
0.00217151059769094,full,rho_O2_max_z,6.076783088044713e+22,-14.450002908706661,
0.00217151059769094,full,rho_N2_max_z,3.8632828989005397e+21,-14.199997186660763,
0.00217151059769094,full,E_dep_fraction_peak,0.036734872542061835,34.999995231628425,
0.00217151059769094,full,E_dep_fraction_crossing,,-94.09599941146008,1e-06
0.00217151059769094,full,E_dep_fraction_crossing,,-86.66955778216128,1e-05
0.00217151059769094,full,E_dep_fraction_crossing,,-48.686843103438726,0.0001
0.00217151059769094,full,E_dep_fraction_crossing,,-15.717001090754243,0.001
0.00217151059769094,full,E_dep_fraction_crossing,,-12.450512456078906,0.01
0.00217151059769094,raman_off,dphi_plasma_applied_max_abs_z,0.005632400047034025,-10.329998731613156,
0.00217151059769094,raman_off,alpha_ion_applied_max_z,3.284001111984253,-8.389998674392697,
0.00217151059769094,raman_off,rho_O2_max_z,2.3766436485956228e+22,-10.329998731613156,
0.00217151059769094,raman_off,rho_N2_max_z,1.2209853909377158e+21,-9.630001783370968,
0.00217151059769094,raman_off,E_dep_fraction_peak,0.02042145605397999,34.999995231628425,
0.00217151059769094,raman_off,E_dep_fraction_crossing,,-94.09599794654258,1e-06
0.00217151059769094,raman_off,E_dep_fraction_crossing,,-86.6684516707518,1e-05
0.00217151059769094,raman_off,E_dep_fraction_crossing,,-48.53241010720861,0.0001
0.00217151059769094,raman_off,E_dep_fraction_crossing,,-13.963834574021684,0.001
0.00217151059769094,raman_off,E_dep_fraction_crossing,,-7.314695000977547,0.01
