E_dep_cumulative_J,E_dep_fraction,U0_J,case,x_focus_cm,z_m
2.379552284381692e-11,1.0958050524422821e-08,0.00217151059769094,popruzhenko,-94.99000000025262,9.999999747378752e-05
4.759604169124465e-11,2.191840175307252e-08,0.00217151059769094,popruzhenko,-94.98000000050524,0.00019999999494757503
7.140155133811277e-11,3.288105128938219e-08,0.00217151059769094,popruzhenko,-94.96999999857508,0.0003000000142492354
9.521206045803865e-11,4.3846003127630003e-08,0.00217151059769094,popruzhenko,-94.96000000101048,0.00039999998989515007
1.1902756558157535e-10,5.481325567010469e-08,0.00217151059769094,popruzhenko,-94.94999999762513,0.0005000000237487257
1.4284808058651066e-10,6.578281530765133e-08,0.00217151059769094,popruzhenko,-94.93999999715015,0.0006000000284984708
1.6667357771726898e-10,7.675466925857977e-08,0.00217151059769094,popruzhenko,-94.93000000249594,0.000699999975040555
1.9050408472942593e-10,8.772883030458017e-08,0.00217151059769094,popruzhenko,-94.92000000202097,0.0007999999797903001
2.143396016229815e-10,9.870529844565251e-08,0.00217151059769094,popruzhenko,-94.910000001546,0.0008999999845400453
2.381801422757235e-10,1.0968408007264188e-07,0.00217151059769094,popruzhenko,-94.89999999525025,0.0010000000474974513
2.620256789320763e-10,1.2066516240385812e-07,0.00217151059769094,popruzhenko,-94.89000000059605,0.0010999999940395355
2.858762115920399e-10,1.3164854543930126e-07,0.00217151059769094,popruzhenko,-94.8799999943003,0.0012000000569969416
3.0973176801118996e-10,1.426342419606614e-07,0.00217151059769094,popruzhenko,-94.8699999996461,0.0013000000035390258
3.3359234818952643e-10,1.5362225196793857e-07,0.00217151059769094,popruzhenko,-94.86000000499189,0.00139999995008111
3.574579243714737e-10,1.646125626794426e-07,0.00217151059769094,popruzhenko,-94.84999999869615,0.001500000013038516
3.8132855206818306e-10,1.7560519965855382e-07,0.00217151059769094,popruzhenko,-94.84000000404194,0.0015999999595806003
4.052041480129276e-10,1.8660012456020177e-07,0.00217151059769094,popruzhenko,-94.8299999977462,0.0017000000225380063
4.2908479547243417e-10,1.975973757294569e-07,0.00217151059769094,popruzhenko,-94.82000000309199,0.0017999999690800905
