case,nonlinear_split_order,dz_m,field_l2_error_to_strang_dz16,pulse_energy_J,I_max_W_m2,rho_max_m3,raman_deposited_energy_J,ionization_deposited_energy_J,temporal_centroid_s,spectral_centroid_rad_s,spectral_width_rad_s,finite
after_other,after_other,0.0001,1.8708233452214257e-06,0.0021713211856253687,4.806020255959283e+17,2.027630504768749e+22,7.818587833082839e-08,1.1335621631108809e-07,1.0598124299762583e-18,38679209853.49501,9810864574001.129,True
before_other,before_other,0.0001,2.765142667927608e-07,0.002171321206293275,4.8060210886762035e+17,2.027130142689629e+22,7.819148672002102e-08,1.1332993703449415e-07,1.0633473846436872e-18,38728782599.629684,9810864463757.723,True
strang,strang,0.0001,1.1332615311601548e-06,0.0021713211962237386,4.806020684793882e+17,2.027380320667193e+22,7.818841852996572e-08,1.133430762495693e-07,1.0613472508202799e-18,38701577115.13402,9810864560767.088,True
strang_dz2,strang,5e-05,5.347161766252083e-07,0.002171321206421333,4.80602119660325e+17,2.0266825640623605e+22,7.818838324791478e-08,1.1333036718944832e-07,1.0623962881468914e-18,38719865757.354004,9810864564699.379,True
strang_dz4,strang,2.5e-05,2.3042231738550257e-07,0.0021713212115723433,4.806021456672069e+17,2.0263333310444452e+22,7.818836990230419e-08,1.1332395662110508e-07,1.062970124165804e-18,38729175229.578835,9810864563954.719,True
strang_dz8,strang,1.25e-05,7.701734006688912e-08,0.002171321214159105,4.806021587741087e+17,2.0261586260402255e+22,7.818836613181981e-08,1.1332073731268508e-07,1.0632691676485427e-18,38733871270.9915,9810864562910.016,True
