case,nonlinear_split_order,dz_m,field_l2_error_to_strang_dz16,pulse_energy_J,I_max_W_m2,rho_max_m3,raman_deposited_energy_J,ionization_deposited_energy_J,temporal_centroid_s,spectral_centroid_rad_s,spectral_width_rad_s,finite,estimated_order
strang,strang,0.0001,1.1332615311601548e-06,0.0021713211962237386,4.806020684793882e+17,2.027380320667193e+22,7.818841852996572e-08,1.133430762495693e-07,1.0613472508202799e-18,38701577115.13402,9810864560767.088,True,1.083635613030017
strang_dz2,strang,5e-05,5.347161766252083e-07,0.002171321206421333,4.80602119660325e+17,2.0266825640623605e+22,7.818838324791478e-08,1.1333036718944832e-07,1.0623962881468914e-18,38719865757.354004,9810864564699.379,True,1.2144928681397622
strang_dz4,strang,2.5e-05,2.3042231738550257e-07,0.0021713212115723433,4.806021456672069e+17,2.0263333310444452e+22,7.818836990230419e-08,1.1332395662110508e-07,1.062970124165804e-18,38729175229.578835,9810864563954.719,True,1.581025251697618
strang_dz8,strang,1.25e-05,7.701734006688912e-08,0.002171321214159105,4.806021587741087e+17,2.0261586260402255e+22,7.818836613181981e-08,1.1332073731268508e-07,1.0632691676485427e-18,38733871270.9915,9810864562910.016,True,
