comparison,field_l2_difference,pulse_energy_relative_difference,I_max_relative_difference,rho_max_relative_difference,raman_loss_relative_difference,ionization_loss_relative_difference,temporal_centroid_difference_fs,spectral_centroid_difference_rad_s,spectral_width_relative_difference
strang_vs_dz2,5.98557431243231e-07,4.696492842596067e-09,1.0649336462388708e-07,0.0003442850978270176,4.5124415515174123e-07,0.0001121417007299453,-1.0490373266115645e-06,-18288642.219985962,4.0080983583993566e-10
after_other_vs_strang,7.38793349203875e-07,4.881069579400003e-09,8.922862117444082e-08,0.00012340264873131446,3.248817644720113e-05,0.00011593175298911751,-1.5348208440215757e-06,-22367261.63900757,1.3489169006110774e-09
