case_id,profile_id,window_id,kind,Nx,Ny,Lx_m,Ly_m,x_vac_fft_imax_cm,x_vac_fft_onaxis_cm,x_vac_fresnel_onaxis_cm,fft_imax_minus_onaxis_cm,fft_imax_minus_fresnel_cm,fft_onaxis_minus_fresnel_cm,axial_fwhm_imax_cm,axial_fwhm_onaxis_cm,prefocus_sidelobe_max_ratio_imax,prefocus_sidelobe_max_ratio_onaxis,power_drift,boundary_power_fraction,input_power_W,input_second_moment_radius_m,p6_nominal_radius_scale,delta_x_vac_vs_P1_cm,closure_epsilon_120_cm,closure_epsilon_40_cm
P1_current_ft90__14mm_896,P1_current_ft90,14mm_896,window,896,896,0.014,0.014,-4.468910256402491,-4.468910256402491,-4.468450699187865,0.0,-0.0004595572146266491,-0.0004595572146266491,31.92882134105865,31.92882134105865,0.49846153991431386,0.49846153991431386,5.538273882024428e-07,1.694118345532498e-08,17000000000.0,0.0018825141432040633,1.0,0.0,-2.588853860883189,-3.269598860979032
P2_zero_at_90_narrow__14mm_896,P2_zero_at_90_narrow,14mm_896,window,896,896,0.014,0.014,-6.557954545517841,-6.557954545517841,-6.557783327129673,0.0,-0.00017121838816791524,-0.00017121838816791524,nan,nan,0.0,0.0,6.169886714710911e-07,2.3603728129277557e-08,16999999999.999992,0.001684903245754394,1.0,-2.08904428911535,-4.677898149998539,-5.358643150094382
P3_zero_at_90_wide__14mm_896,P3_zero_at_90_wide,14mm_896,window,896,896,0.014,0.014,-7.222727272742135,-7.222727272742135,-7.222312346623272,0.0,-0.00041492611886351227,-0.00041492611886351227,nan,nan,0.0,0.0,5.538273884268367e-07,6.495140659056884e-09,17000000000.000004,0.0015948528787613164,1.0,-2.753817016339644,-5.342670877222833,-6.023415877318676
P4_hard_top_R__14mm_896,P4_hard_top_R,14mm_896,window,896,896,0.014,0.014,-3.9814814816108712,-3.9814814816108712,-3.961268872235768,0.0,-0.020212609375103163,-0.020212609375103163,30.173125522927204,30.173125522927204,0.4996838724166832,0.4996838724166832,6.169886718076819e-07,6.783401992642935e-06,16999999999.999998,0.0019791641334559688,1.0,0.48742877479162017,-2.101425086091569,-2.7821700861874117
P5_hard_top_0p9R__14mm_896,P5_hard_top_0p9R,14mm_896,window,896,896,0.014,0.014,-5.8027484940261775,-5.8027484940261775,-5.777061556665386,0.0,-0.025686937360791973,-0.025686937360791973,35.89421501146846,35.89421501146846,0.4993212969928777,0.4993212969928777,5.53827387978049e-07,1.8294406506798117e-05,16999999999.999996,0.001780047636986166,1.0,-1.3338382376236861,-3.922692098506875,-4.603437098602718
P6_P2_second_moment_matched__14mm_896,P6_P2_second_moment_matched,14mm_896,window,896,896,0.014,0.014,-4.43092105255899,-4.43092105255899,-4.43211488200993,0.0,0.0011938294509405978,0.0011938294509405978,31.815150676414035,31.815150676414035,0.4989885413081307,0.4989885413081307,5.538273877536552e-07,1.4350925699255263e-08,16999999999.999992,0.001882514143204063,1.1172834041640693,0.037989203843501684,-2.5508646570396873,-3.23160965713553
