z_m,x_focus_cm,IR_max_z,delta_n_rot_max_z,delta_n_rot_applied_max_z,dphi_rot_max_abs_z,dphi_rot_applied_max_abs_z,alpha_R_raw_max_z,alpha_R_applied_max_z
9.999999747378752e-05,-94.99000000025262,1281283367895040.0,2.9469518381119997e-08,2.9469518381119997e-08,2.31515532505e-05,2.31515532505e-05,0.00010958044731523842,0.00010958044731523842
0.00019999999494757503,-94.98000000050524,1281664412024832.0,2.9478281149408758e-08,2.9478281149408758e-08,2.3158438125392422e-05,2.3158438125392422e-05,0.00010960356303257868,0.00010960356303257868
0.0003000000142492354,-94.96999999857508,1282120215429120.0,2.94887652074749e-08,2.94887652074749e-08,2.3166674509411678e-05,2.3166674509411678e-05,0.0001096266569220461,0.0001096266569220461
0.00039999998989515007,-94.96000000101048,1282629169053696.0,2.9500471399046546e-08,2.9500471399046546e-08,2.3175871319836006e-05,2.3175871319836006e-05,0.0001096497944672592,0.0001096497944672592
0.0005000000237487257,-94.94999999762513,1283161208127488.0,2.9512708721313174e-08,2.9512708721313174e-08,2.3185484678833745e-05,2.3185484678833745e-05,0.00010967292473651469,0.00010967292473651469
0.0006000000284984708,-94.93999999715015,1283689220669440.0,2.9524851896667315e-08,2.9524851896667315e-08,2.3195025278255343e-05,2.3195025278255343e-05,0.0001096960695576854,0.0001096960695576854
0.000699999975040555,-94.93000000249594,1284192537149440.0,2.9536428414189686e-08,2.9536428414189686e-08,2.320411840628367e-05,2.320411840628367e-05,0.00010971918527502567,0.00010971918527502567
0.0007999999797903001,-94.92000000202097,1284672902397952.0,2.9547477353730756e-08,2.9547477353730756e-08,2.321279862371739e-05,2.321279862371739e-05,0.00010974236647598445,0.00010974236647598445
0.0008999999845400453,-94.910000001546,1285179842756608.0,2.955913736002458e-08,2.955913736002458e-08,2.3221959054353647e-05,2.3221959054353647e-05,0.00010976554040098563,0.00010976554040098563
0.0010000000474974513,-94.89999999525025,1285696446791680.0,2.9571017634566488e-08,2.9571017634566488e-08,2.323129228898324e-05,2.323129228898324e-05,0.00010978869249811396,0.00010978869249811396
0.0010999999940395355,-94.89000000059605,1286167953670144.0,2.9581862293071026e-08,2.9581862293071026e-08,2.323981243534945e-05,2.323981243534945e-05,0.00010981186642311513,0.00010981186642311513
0.0012000000569969416,-94.8799999943003,1286585370804224.0,2.9591463501787985e-08,2.9591463501787985e-08,2.324735396541655e-05,2.324735396541655e-05,0.00010983509127981961,0.00010983509127981961
0.0013000000035390258,-94.8699999996461,1287031913185280.0,2.9601734397033397e-08,2.9601734397033397e-08,2.325542300241068e-05,2.325542300241068e-05,0.00010985827975673601,0.00010985827975673601
0.00139999995008111,-94.86000000499189,1287550127833088.0,2.9613653751425772e-08,2.9613653751425772e-08,2.3264787159860134e-05,2.3264787159860134e-05,0.0001098814609576948,0.0001098814609576948
0.001500000013038516,-94.84999999869615,1288057068191744.0,2.9625311981362756e-08,2.9625311981362756e-08,2.327394759049639e-05,2.327394759049639e-05,0.00010990467853844166,0.00010990467853844166
0.0015999999595806003,-94.84000000404194,1288536493916160.0,2.9636339604621753e-08,2.9636339604621753e-08,2.328261143702548e-05,2.328261143702548e-05,0.00010992790339514613,0.00010992790339514613
0.0017000000225380063,-94.8299999977462,1288982902079488.0,2.9646606947153487e-08,2.9646606947153487e-08,2.3290676836040802e-05,2.3290676836040802e-05,0.00010995111369993538,0.00010995111369993538
0.0017999999690800905,-94.82000000309199,1289444476846080.0,2.9657222455625742e-08,2.9657222455625742e-08,2.3299015083466657e-05,2.3299015083466657e-05,0.00010997437493642792,0.00010997437493642792
0.0019000000320374966,-94.80999999679625,1289853706698752.0,2.9666635370517724e-08,2.9666635370517724e-08,2.3306411094381474e-05,2.3306411094381474e-05,0.00010999760706909001,0.00010999760706909001
0.0020000000949949026,-94.79999999050051,1290337964261376.0,2.9677773127900764e-08,2.9677773127900764e-08,2.331516043341253e-05,2.331516043341253e-05,0.00011002086102962494,0.00011002086102962494
0.002099999925121665,-94.79000000748783,1290822758694912.0,2.968892331978168e-08,2.968892331978168e-08,2.3323920686380006e-05,2.3323920686380006e-05,0.00011004415136994794,0.00011004415136994794
0.002199999988079071,-94.7800000011921,1291269435293696.0,2.969919776774077e-08,2.969919776774077e-08,2.333199154236354e-05,2.333199154236354e-05,0.00011006742715835571,0.00011006742715835571
0.002300000051036477,-94.76999999489635,1291760001089536.0,2.97104794100278e-08,2.97104794100278e-08,2.3340855477727018e-05,2.3340855477727018e-05,0.00011009069567080587,0.00011009069567080587
0.002400000113993883,-94.75999998860061,1292356330455040.0,2.972419643754165e-08,2.972419643754165e-08,2.3351631170953624e-05,2.3351631170953624e-05,0.00011011397873517126,0.00011011397873517126
0.0024999999441206455,-94.75000000558794,1292917763211264.0,2.973710877540725e-08,2.973710877540725e-08,2.3361773855867796e-05,2.3361773855867796e-05,0.00011013729817932472,0.00011013729817932472
0.0026000000070780516,-94.7399999992922,1293437588471808.0,2.9749065433293254e-08,2.9749065433293254e-08,2.337116893613711e-05,2.337116893613711e-05,0.00011016060307156295,0.00011016060307156295
0.0027000000700354576,-94.72999999299645,1293909229568000.0,2.975991186815463e-08,2.975991186815463e-08,2.3379690901492722e-05,2.3379690901492722e-05,0.00011018391523975879,0.00011018391523975879
0.00279999990016222,-94.72000000998378,1294331075887104.0,2.9769614329211436e-08,2.9769614329211436e-08,2.338731246709358e-05,2.338731246709358e-05,0.00011020722740795463,0.00011020722740795463
0.002899999963119626,-94.71000000368804,1294702993211392.0,2.9778169263749987e-08,2.9778169263749987e-08,2.3394031813950278e-05,2.3394031813950278e-05,0.0001102305541280657,0.0001102305541280657
0.003000000026077032,-94.6999999973923,1295046456377344.0,2.97860687226148e-08,2.97860687226148e-08,2.3400238205795176e-05,2.3400238205795176e-05,0.00011025390995200723,0.00011025390995200723
0.003100000089034438,-94.68999999109656,1295413541863424.0,2.979451174667247e-08,2.979451174667247e-08,2.3406872060149908e-05,2.3406872060149908e-05,0.00011027726577594876,0.00011027726577594876
0.0031999999191612005,-94.68000000808388,1296046781104128.0,2.980907609639871e-08,2.980907609639871e-08,2.341831350349821e-05,2.341831350349821e-05,0.00011030062159989029,0.00011030062159989029
0.0032999999821186066,-94.67000000178814,1296632909922304.0,2.982255864480976e-08,2.982255864480976e-08,2.342890547879506e-05,2.342890547879506e-05,0.00011032399197574705,0.00011032399197574705
0.0034000000450760126,-94.6599999954924,1297153674706944.0,2.9834534842620997e-08,2.9834534842620997e-08,2.3438315110979602e-05,2.3438315110979602e-05,0.00011034737690351903,0.00011034737690351903
0.0035000001080334187,-94.64999998919666,1297599277563904.0,2.9844784421584336e-08,2.9844784421584336e-08,2.34463677770691e-05,2.34463677770691e-05,0.00011037076183129102,0.00011037076183129102
0.003599999938160181,-94.64000000618398,1298037095792640.0,2.985485281215006e-08,2.985485281215006e-08,2.3454276742995717e-05,2.3454276742995717e-05,0.00011039413220714778,0.00011039413220714778
0.003700000001117587,-94.62999999988824,1298521890226176.0,2.986600478038781e-08,2.986600478038781e-08,2.3463036995963193e-05,2.3463036995963193e-05,0.0001104175389627926,0.0001104175389627926
0.003800000064074993,-94.6199999935925,1298926825111552.0,2.987531644293995e-08,2.987531644293995e-08,2.347035115235485e-05,2.347035115235485e-05,0.00011044094571843743,0.00011044094571843743
0.0038999998942017555,-94.61000001057982,1299413901246464.0,2.9886521701882884e-08,2.9886521701882884e-08,2.3479155061068013e-05,2.3479155061068013e-05,0.00011046441068174317,0.00011046441068174317
0.004000000189989805,-94.59999998100102,1299994258702336.0,2.989986924717414e-08,2.989986924717414e-08,2.3489641534979455e-05,2.3489641534979455e-05,0.00011048782471334562,0.00011048782471334562
0.004100000020116568,-94.58999999798834,1300579447996416.0,2.9913326926589434e-08,2.9913326926589434e-08,2.3500213501392864e-05,2.3500213501392864e-05,0.00011051126784877852,0.00011051126784877852
0.00419999985024333,-94.58000001497567,1301120882311168.0,2.992577918803363e-08,2.992577918803363e-08,2.3509996026405133e-05,2.3509996026405133e-05,0.00011053471826016903,0.00011053471826016903
0.00430000014603138,-94.56999998539686,1301610374365184.0,2.993703773768175e-08,2.993703773768175e-08,2.3518841771874577e-05,2.3518841771874577e-05,0.0001105581468436867,0.0001105581468436867
0.004399999976158142,-94.56000000238419,1302114496151552.0,2.9948633795129354e-08,2.9948633795129354e-08,2.3527951270807534e-05,2.3527951270807534e-05,0.0001105816409108229,0.0001105816409108229
0.0044999998062849045,-94.55000001937151,1302830950383616.0,2.996511128117163e-08,2.996511128117163e-08,2.354089701839257e-05,2.354089701839257e-05,0.00011060509859817103,0.00011060509859817103
0.004600000102072954,-94.5399999897927,1303438688256000.0,2.997909120949771e-08,2.997909120949771e-08,2.355188007641118e-05,2.355188007641118e-05,0.00011062857083743438,0.00011062857083743438
0.004699999932199717,-94.53000000678003,1303768058560512.0,2.998666559506091e-08,2.998666559506091e-08,2.355782999075018e-05,2.355782999075018e-05,0.00011065206490457058,0.00011065206490457058
0.004800000227987766,-94.51999997720122,1304025219727360.0,2.9992580863336116e-08,2.9992580863336116e-08,2.356247750867624e-05,2.356247750867624e-05,0.000110675573523622,0.000110675573523622
0.004900000058114529,-94.50999999418855,1304714830413824.0,3.000844017719828e-08,3.000844017719828e-08,2.3574935767101124e-05,2.3574935767101124e-05,0.0001106990675907582,0.0001106990675907582
0.004999999888241291,-94.50000001117587,1305326460600320.0,3.002250892336633e-08,3.002250892336633e-08,2.358598794671707e-05,2.358598794671707e-05,0.00011072256893385202,0.00011072256893385202
0.005100000184029341,-94.48999998159707,1305840246063104.0,3.003432524906202e-08,3.003432524906202e-08,2.3595272068632767e-05,2.3595272068632767e-05,0.00011074607755290344,0.00011074607755290344
0.005200000014156103,-94.47999999858439,1306244912513024.0,3.004363335890048e-08,3.004363335890048e-08,2.360258440603502e-05,2.360258440603502e-05,0.00011076964437961578,0.00011076964437961578
0.0052999998442828655,-94.47000001557171,1306664611348480.0,3.005328608196578e-08,3.005328608196578e-08,2.3610167772858404e-05,2.3610167772858404e-05,0.00011079317482654005,0.00011079317482654005
0.005400000140070915,-94.45999998599291,1307050889969664.0,3.006217141887646e-08,3.006217141887646e-08,2.361714723519981e-05,2.361714723519981e-05,0.00011081674165325239,0.00011081674165325239
0.005499999970197678,-94.45000000298023,1307398513885184.0,3.007016502465376e-08,3.007016502465376e-08,2.362342638662085e-05,2.362342638662085e-05,0.00011084028665209189,0.00011084028665209189
0.00559999980032444,-94.44000001996756,1307911896694784.0,3.0081974244922094e-08,3.0081974244922094e-08,2.3632705051568337e-05,2.3632705051568337e-05,0.00011086383165093139,0.00011086383165093139
0.00570000009611249,-94.42999999038875,1308517889736704.0,3.009591154068403e-08,3.009591154068403e-08,2.364365354878828e-05,2.364365354878828e-05,0.0001108874348574318,0.0001108874348574318
0.005799999926239252,-94.42000000737607,1309327491072000.0,3.011453131307462e-08,3.011453131307462e-08,2.3658281861571595e-05,2.3658281861571595e-05,0.00011091100896010175,0.00011091100896010175
0.005900000222027302,-94.40999997779727,1310186618748928.0,3.013429150655611e-08,3.013429150655611e-08,2.367380693613086e-05,2.367380693613086e-05,0.00011093461944255978,0.00011093461944255978
0.006000000052154064,-94.3999999947846,1310643361677312.0,3.014479688090432e-08,3.014479688090432e-08,2.3682057872065343e-05,2.3682057872065343e-05,0.00011095820809714496,0.00011095820809714496
0.006099999882280827,-94.39000001177192,1310837574729728.0,3.0149266194712254e-08,3.0149266194712254e-08,2.368557034060359e-05,2.368557034060359e-05,0.00011098185495939106,0.00011098185495939106
0.006200000178068876,-94.37999998219311,1311595233804288.0,3.016669225530677e-08,3.016669225530677e-08,2.3699260054854676e-05,2.3699260054854676e-05,0.00011100546544184908,0.00011100546544184908
0.006300000008195639,-94.36999999918044,1312428323241984.0,3.018585204017654e-08,3.018585204017654e-08,2.3714312192169018e-05,2.3714312192169018e-05,0.00011102909775217995,0.00011102909775217995
0.006399999838322401,-94.36000001616776,1313572932026368.0,3.0212177648536453e-08,3.0212177648536453e-08,2.3734994101687334e-05,2.3734994101687334e-05,0.00011105271551059559,0.00011105271551059559
0.006500000134110451,-94.34999998658895,1314665195896832.0,3.023729888695925e-08,3.023729888695925e-08,2.3754730136715807e-05,2.3754730136715807e-05,0.00011107633326901123,0.00011107633326901123
0.006599999964237213,-94.34000000357628,1315277765607424.0,3.0251388949409375e-08,3.0251388949409375e-08,2.3765798687236384e-05,2.3765798687236384e-05,0.0001111000165110454,0.0001111000165110454
0.0066999997943639755,-94.3300000205636,1315249714102272.0,3.025074235551983e-08,3.025074235551983e-08,2.3765291189192794e-05,2.3765291189192794e-05,0.00011112366337329149,0.00011112366337329149
0.006800000090152025,-94.3199999909848,1314696065974272.0,3.023800942969501e-08,3.023800942969501e-08,2.3755286747473292e-05,2.3755286747473292e-05,0.00011114733206341043,0.00011114733206341043
0.006899999920278788,-94.31000000797212,1313985248886784.0,3.022165984134517e-08,3.022165984134517e-08,2.374244468228426e-05,2.374244468228426e-05,0.00011117100075352937,0.00011117100075352937
0.007000000216066837,-94.29999997839332,1315037918527488.0,3.02458715850662e-08,3.02458715850662e-08,2.3761464035487734e-05,2.3761464035487734e-05,0.0001111946621676907,0.0001111946621676907
0.0071000000461936,-94.28999999538064,1315849667346432.0,3.0264541095448294e-08,3.0264541095448294e-08,2.3776130547048524e-05,2.3776130547048524e-05,0.00011121833813376725,0.00011121833813376725
0.007199999876320362,-94.28000001236796,1316591622946816.0,3.028160833196125e-08,3.028160833196125e-08,2.3789540136931464e-05,2.3789540136931464e-05,0.00011124202137580141,0.00011124202137580141
0.007300000172108412,-94.26999998278916,1318043187675136.0,3.031499318240094e-08,3.031499318240094e-08,2.3815766326151788e-05,2.3815766326151788e-05,0.00011126573372166604,0.00011126573372166604
