z_m,x_focus_cm,IR_max_z,delta_n_rot_max_z,delta_n_rot_applied_max_z,dphi_rot_max_abs_z,dphi_rot_applied_max_abs_z,alpha_R_raw_max_z,alpha_R_applied_max_z
0.9457499980926514,-0.42500019073485884,3.2172414603362304e+17,7.3996552600874566e-06,7.3996552600874566e-06,0.0029066221322864294,0.0029066221322864294,0.0043855952098965645,0.0043855952098965645
0.9458000063896179,-0.41999936103820357,3.215282611651871e+17,7.395150078082224e-06,7.395150078082224e-06,0.00290485261939466,0.00290485261939466,0.0043839686550199986,0.0043839686550199986
0.9458500146865845,-0.4149985313415483,3.2133179218119885e+17,7.3906312536564656e-06,7.3906312536564656e-06,0.002903077518567443,0.002903077518567443,0.004382343031466007,0.004382343031466007
0.945900022983551,-0.409997701644893,3.211349452400886e+17,7.38610378903104e-06,7.38610378903104e-06,0.0029012991581112146,0.0029012991581112146,0.004380714613944292,0.004380714613944292
0.9459499716758728,-0.4050028324127153,3.209374454639493e+17,7.381561317743035e-06,7.381561317743035e-06,0.002899514976888895,0.002899514976888895,0.004379110876470804,0.004379110876470804
0.9459999799728394,-0.40000200271606,3.2073963645016474e+17,7.377011570497416e-06,7.377011570497416e-06,0.002897727768868208,0.002897727768868208,0.00437752902507782,0.00437752902507782
0.9460499882698059,-0.39500117301940474,3.20541346400043e+17,7.372450909315376e-06,7.372450909315376e-06,0.002895936369895935,0.002895936369895935,0.0043759532272815704,0.0043759532272815704
0.9460999965667725,-0.39000034332274947,3.2034264403306086e+17,7.367880698438967e-06,7.367880698438967e-06,0.00289414101280272,0.00289414101280272,0.00437437416985631,0.00437437416985631
0.946150004863739,-0.3849995136260942,3.201435293492183e+17,7.36330139261554e-06,7.36330139261554e-06,0.002892342396080494,0.002892342396080494,0.004372794646769762,0.004372794646769762
0.9462000131607056,-0.3799986839294389,3.199440023485153e+17,7.358712082350394e-06,7.358712082350394e-06,0.002890539588406682,0.002890539588406682,0.0043712216429412365,0.0043712216429412365
0.9462500214576721,-0.37499785423278365,3.197441317504287e+17,7.3541150413802825e-06,7.3541150413802825e-06,0.0028887337539345026,0.0028887337539345026,0.00436965748667717,0.00436965748667717
