comparison,channel,classification,pulse_energy_error,pulse_energy_error_kind,max_cumulative_shape_error,z10_shift_m,z50_shift_m,z90_shift_m,centroid_shift_m,peak_dE_dz_relative_difference,peak_z_shift_m,gate_A_pulse_energy,gate_B_cumulative_shape,gate_C_locations,gate_D_peak_secondary,primary_pass
coarse_vs_candidate,ion,authoritative_channel,0.011441740322709473,relative,0.0013841843515658425,0.00010979583442383145,3.984981553106781e-05,0.00036486560951354274,0.0003958272460981016,0.007500062656752966,0.00027499999998370495,False,True,False,False,False
coarse_vs_candidate,ib,zero_channel,0.0,trivially_zero,0.0,,,,,0.0,,True,True,True,True,True
coarse_vs_candidate,raman,authoritative_channel,0.012161599004555995,relative,0.004000679011383901,0.000964169234772716,0.0006140053477770024,0.002591824228894035,0.0015644720714187432,0.00588150545144241,2.4999999983621457e-05,False,True,False,True,False
coarse_vs_candidate,total,authoritative_channel,0.011710800675710818,relative,0.0023452639232692807,2.8576429013993376e-05,0.00015228398102384855,0.0068449258368854515,0.0008395869729690419,0.007167494360718545,2.5000000016262014e-05,False,True,False,True,False
candidate_vs_fine,ion,authoritative_channel,0.022202269614786888,relative,0.002339898044862343,0.0002131479345959253,5.801001673533257e-05,0.0006107465052984651,0.0006424277933002598,0.014860127782769367,0.0003875000001545281,False,True,False,False,False
candidate_vs_fine,ib,zero_channel,0.0,trivially_zero,0.0,,,,,0.0,,True,True,True,True,True
candidate_vs_fine,raman,authoritative_channel,0.023674818495788834,relative,0.007614604062950003,0.0018599325355219687,0.0011404053795157632,0.005180710119278453,0.0029764326425005816,0.01169527976301283,0.00011250000018181439,False,True,False,False,False
candidate_vs_fine,total,authoritative_channel,0.02275216562475301,relative,0.00426452351962292,5.632949044409585e-05,0.0002718393722368484,0.010503715177183404,0.0015276980552627606,0.014210686304602572,0.0003125000001571454,False,True,False,False,False
