I_peak_W_m2,I_peak_x_cm,case,o2_fraction_at_rho_peak,rho_peak_m3,rho_peak_x_cm
5.756546728413102e+17,-11.939997673034664,popruzhenko,0.9925007224082947,5.9098260930187965e+22,-14.919997453689572
6.79441973433598e+17,-11.299998760223385,talebpour,0.9405401945114136,6.460902306022546e+22,-14.440001249313351
