z_m,field_energy_J,initial_field_energy_J,field_loss_step_J,field_loss_cumulative_J,raman_target_step_J,raman_target_cumulative_J,raman_actual_step_J,raman_actual_cumulative_J,ionization_plus_ib_step_J,ionization_step_J,plasma_ib_step_J,legacy_alpha_energy_step_J,total_accounted_step_J,total_accounted_cumulative_J,total_accounted_step_from_channels_J,total_accounted_cumulative_from_channels_J,stored_total_step_mismatch_J,stored_total_cumulative_mismatch_J,unaccounted_boundary_filter_or_numerical_step_J,unaccounted_boundary_filter_or_numerical_cumulative_J,relative_closure_signed,relative_closure_abs,relative_step_residual_signed
9.999999747378752e-05,0.00217151059769094,0.0021715129259973764,2.3283064365386963e-09,2.3283064365386963e-09,1.211120648214603e-10,1.211120648214603e-10,1.2110915048602067e-10,1.2110915048602067e-10,2.8961119091798814e-23,2.8961119091798814e-23,0.0,0.0,1.2110915048602067e-10,1.2110915048602067e-10,1.2110915048604962e-10,1.2110915048604962e-10,-2.895132143935597e-23,-2.895132143935597e-23,2.2071972860526756e-09,2.2071972860526756e-09,1.0164329484886254e-06,1.0164329484886254e-06,0.9479840159416199
0.00019999999494757503,0.0021715082693845034,0.0021715129259973764,2.3283064365386963e-09,4.6566128730773926e-09,1.211372668841193e-10,2.422493317055796e-10,1.2113786362899504e-10,2.422470279928035e-10,2.9002953963324494e-23,2.9002953963324494e-23,0.0,0.0,1.2113786362899504e-10,2.422470279928035e-10,1.2113786362902404e-10,2.4224701411507366e-10,-2.900302022764053e-23,1.387772985347279e-17,2.2071685729097013e-09,4.414365845084589e-09,2.0328526679421306e-06,2.0328526679421306e-06,0.9479716837406158
0.0003000000142492354,0.002171505941078067,0.0021715129259973764,2.3283064365386963e-09,6.984919309616089e-09,1.211624967023539e-10,3.634118284079335e-10,1.2115224101716393e-10,3.6339925513217963e-10,2.904484878827897e-23,2.904484878827897e-23,0.0,0.0,1.2115224101716393e-10,3.6339925513217963e-10,1.2115224101719299e-10,3.6339925513226664e-10,-2.90547190159251e-23,-8.70090606829216e-23,2.2071541955215324e-09,6.621520054483909e-09,3.0492657792689137e-06,3.0492657792689137e-06,0.9479655086994171
0.00039999998989515007,0.0021715036127716303,0.0021715129259973764,2.3283064365386963e-09,9.313225746154785e-09,1.211877126428007e-10,4.845995271729464e-10,1.211876848872251e-10,4.845869261416169e-10,2.908681303299311e-23,2.908681303299311e-23,0.0,0.0,1.211876848872251e-10,4.845869261416169e-10,1.2118768488725417e-10,4.845869400195208e-10,-2.908056841006738e-23,-1.3877903923292944e-17,2.207118751651471e-09,8.828638820013168e-09,4.065662568394877e-06,4.065662568394877e-06,0.9479502856731414
0.0005000000237487257,0.0021715012844651937,0.0021715129259973764,2.3283064365386963e-09,1.1641532182693481e-08,1.2121297021661093e-10,6.058125112673451e-10,1.212182298981901e-10,6.058051837953826e-10,2.9128849852910526e-23,2.9128849852910526e-23,0.0,0.0,1.212182298981901e-10,6.058051837953826e-10,1.2121822989821922e-10,6.058051699177401e-10,-2.9132267198351943e-23,1.3877642534219377e-17,2.207088206640506e-09,1.1035726998898099e-08,5.082045272113399e-06,5.082045272113399e-06,0.9479371666908264
0.0006000000284984708,0.002171498956158757,0.0021715129259973764,2.3283064365386963e-09,1.3969838619232178e-08,1.2123821391263334e-10,7.270507529355541e-10,1.2123596571100848e-10,7.270411495063911e-10,2.917095293714398e-23,2.917095293714398e-23,0.0,0.0,1.2123596571100848e-10,7.270411495063911e-10,1.2123596571103763e-10,7.270411356287777e-10,-2.9158116592494226e-23,1.3877613376102785e-17,2.207070470827688e-09,1.3242797469725787e-08,6.098419821122348e-06,6.098419821122348e-06,0.9479295492172242
0.000699999975040555,0.002171496395021677,0.0021715129259973764,2.561137080192566e-09,1.6530975699424744e-08,1.2126344373086795e-10,8.48314196666422e-10,1.2126272208590194e-10,8.48303871592293e-10,2.92131254411371e-23,2.92131254411371e-23,0.0,0.0,1.2126272208590194e-10,8.48303871592293e-10,1.2126272208593115e-10,8.483038577147089e-10,-2.920981538077879e-23,1.3877584114588616e-17,2.439874358106664e-09,1.568267182783245e-08,7.222002521872807e-06,7.222002521872807e-06,0.952652779492465
0.0007999999797903001,0.002171494299545884,0.0021715129259973764,2.0954757928848267e-09,1.862645149230957e-08,1.2128871518246598e-10,9.69602842459949e-10,1.2127113202531348e-10,9.69574975862031e-10,2.925537052033349e-23,2.925537052033349e-23,0.0,0.0,1.2127113202531348e-10,9.69574975862031e-10,1.2127113202534274e-10,9.695749897400516e-10,-2.9261514169063354e-23,-1.387802065915689e-17,1.974204660859513e-09,1.765687651644754e-08,8.131140416001775e-06,8.131140416001775e-06,0.94212716155582
0.0008999999845400453,0.0021714919712394476,0.0021715129259973764,2.3283064365386963e-09,2.0954757928848267e-08,1.213139727562762e-10,1.0909169123607398e-09,1.2131128046544148e-10,1.0908862702052602e-09,2.929768501928955e-23,2.929768501928955e-23,0.0,0.0,1.2131128046544148e-10,1.0908862702052602e-09,1.2131128046547077e-10,1.0908862702055224e-09,-2.9287363563205636e-23,-2.6221625417930977e-22,2.206995156073255e-09,1.9863871658643006e-08,9.147480275540853e-06,9.147480275540853e-06,0.9478972017765045
0.0010000000474974513,0.002171489642933011,0.0021715129259973764,2.3283064365386963e-09,2.3283064365386963e-08,1.2133927196344985e-10,1.2122561843241897e-09,1.2133531679392462e-10,1.2122215453658214e-09,2.9340075248892504e-23,2.9340075248892504e-23,0.0,0.0,1.2133531679392462e-10,1.2122215453658214e-09,1.2133531679395396e-10,1.2122215869994764e-09,-2.93390623514902e-23,-4.1633655004609295e-17,2.2069711197447717e-09,2.207084282002114e-08,1.0163809091711483e-05,1.0163809091711483e-05,0.9478868782520294
0.0010999999940395355,0.002171486848965287,0.0021715129259973764,2.7939677238464355e-09,2.60770320892334e-08,1.2136455729283568e-10,1.3336206583502985e-09,1.2136115723482277e-10,1.3335826887228563e-09,2.938253805369874e-23,2.938253805369874e-23,0.0,0.0,1.2136115723482277e-10,1.3335826887228563e-09,1.2136115723485216e-10,1.3335827442343285e-09,-2.9390761139774765e-23,-5.55114721773355e-17,2.6726065666116128e-09,2.4743449400510542e-08,1.1394566941914872e-05,1.1394566941914872e-05,0.9565631498893102
0.0012000000569969416,0.0021714847534894943,0.0021715129259973764,2.0954757928848267e-09,2.8172507882118225e-08,1.2138984262222152e-10,1.4550105564836713e-09,1.213818073830808e-10,1.4549644822281493e-09,2.9425070278264637e-23,2.9425070278264637e-23,0.0,0.0,1.213818073830808e-10,1.4549644822281493e-09,1.2138180738311021e-10,1.4549645516174387e-09,-2.9416610533917047e-23,-6.93892893500617e-17,1.974093985501746e-09,2.6717543399890076e-08,1.2303653862718178e-05,1.2303653862718178e-05,0.9420743452178107
0.0013000000035390258,0.002171482425183058,0.0021715129259973764,2.3283064365386963e-09,3.050081431865692e-08,1.2141516958497078e-10,1.576425656679703e-09,1.2142517546998022e-10,1.5763896854537052e-09,2.9467678233477434e-23,2.9467678233477434e-23,0.0,0.0,1.2142517546998022e-10,1.5763896854537052e-09,1.2142517547000969e-10,1.5763897270874483e-09,-2.946830932220161e-23,-4.163374309934453e-17,2.206881261068716e-09,2.8924424633203216e-08,1.3319941266257128e-05,1.3319941266257128e-05,0.9478482842445374
0.00139999995008111,0.0021714800968766212,0.0021715129259973764,2.3283064365386963e-09,3.282912075519562e-08,1.2144048266993224e-10,1.6978661809829987e-09,1.2143212824167193e-10,1.6978218830843161e-09,2.951035560844989e-23,2.951035560844989e-23,0.0,0.0,1.2143212824167193e-10,1.6978218830843161e-09,1.2143212824170145e-10,1.6978218553291498e-09,-2.9520008110486175e-23,2.7755166368020853e-17,2.2068743082970244e-09,3.11312988721113e-08,1.4336225448813614e-05,1.4336225448813614e-05,0.9478452980518342
0.001500000013038516,0.0021714777685701847,0.0021715129259973764,2.3283064365386963e-09,3.5157427191734314e-08,1.214657957548937e-10,1.8193320183712558e-09,1.2146003647295345e-10,1.8192818362905427e-09,2.955310555862563e-23,2.955310555862563e-23,0.0,0.0,1.2146003647295345e-10,1.8192818362905427e-09,1.21460036472983e-10,1.8192818918021328e-09,-2.954585750462846e-23,-5.551159005057279e-17,2.206846400065743e-09,3.333814535544377e-08,1.5352496849693655e-05,1.5352496849693655e-05,0.9478333115577697
0.0015999999595806003,0.0021714752074331045,0.0021715129259973764,2.561137080192566e-09,3.771856427192688e-08,1.2149113659543076e-10,1.940823057822172e-09,1.2148779204856908e-10,1.94076976711699e-09,2.9595928084004645e-23,2.9595928084004645e-23,0.0,0.0,1.2148779204856908e-10,1.94076976711699e-09,1.2148779204859867e-10,1.9407696838507316e-09,-2.959755629291302e-23,8.326625824906973e-17,2.439649288143997e-09,3.577779450480989e-08,1.647597583992144e-05,1.647597583992144e-05,0.9525649005716498
0.0017000000225380063,0.002171472879126668,0.0021715129259973764,2.3283064365386963e-09,4.0046870708465576e-08,1.2151647743596783e-10,2.0623396324026544e-09,1.21509677319942e-10,2.0622792362701148e-09,2.9638826340030564e-23,2.9638826340030564e-23,0.0,0.0,1.21509677319942e-10,2.0622792362701148e-09,1.2150967731997165e-10,2.0622793611707034e-09,-2.9649255081197586e-23,-1.2490058864664917e-16,2.2067967592187543e-09,3.798459147219546e-08,1.7492224438290704e-05,1.7492224438290704e-05,0.9478119909763336
0.0017999999690800905,0.002171470783650875,0.0021715129259973764,2.0954757928848267e-09,4.21423465013504e-08,1.215418321542927e-10,2.1838815200680983e-09,1.215473416360524e-10,2.183826675050682e-09,2.9681803482147005e-23,2.9681803482147005e-23,0.0,0.0,1.215473416360524e-10,2.183826675050682e-09,1.2154734163608208e-10,2.1838267028067856e-09,-2.967510447533987e-23,-2.775610377045003e-17,1.9739284512487743e-09,3.995851982629972e-08,1.840123507804899e-05,1.840123507804899e-05,0.9419953491952684
0.0019000000320374966,0.0021714684553444386,0.0021715129259973764,2.3283064365386963e-09,4.44706529378891e-08,1.2156718687261758e-10,2.3054484987738988e-09,1.2156416151487548e-10,2.3053907671766183e-09,2.9724853199466726e-23,2.9724853199466726e-23,0.0,0.0,1.2156416151487548e-10,2.3053907671766183e-09,1.215641615149052e-10,2.305390864321691e-09,-2.972680326362443e-23,-9.714507258802436e-17,2.206742275023821e-09,4.216526217071248e-08,1.941745852207901e-05,1.941745852207901e-05,0.9477885901927948
0.0020000000949949026,0.0021714656613767147,0.0021715129259973764,2.7939677238464355e-09,4.7264620661735535e-08,1.2159255546873027e-10,2.4270412346538706e-09,1.2158472839640666e-10,2.4269755094508128e-09,2.976797549198973e-23,2.976797549198973e-23,0.0,0.0,1.2158472839640666e-10,2.4269755094508128e-09,1.2158472839643644e-10,2.4269755927181273e-09,-2.9778502051908996e-23,-8.326731455871196e-17,2.672382995450029e-09,4.483764515228472e-08,2.0648113403096957e-05,2.0648113403096957e-05,0.9564831306536993
0.002099999925121665,0.002171463565900922,0.0021715129259973764,2.0954757928848267e-09,4.936009645462036e-08,1.2161793794263076e-10,2.548659061574199e-09,1.2162948426208686e-10,2.548605104735202e-09,2.981117667060325e-23,2.981117667060325e-23,0.0,0.0,1.2162948426208686e-10,2.548605104735202e-09,1.2162948426211667e-10,2.548605076980244e-09,-2.980435144605128e-23,2.7754958125301643e-17,1.97384630862274e-09,4.681149134988516e-08,2.1557086209092965e-05,2.1557086209092965e-05,0.9419561492072211
0.002199999988079071,0.002171461470425129,0.0021715129259973764,2.0954757928848267e-09,5.145557224750519e-08,1.2164333429431906e-10,2.6703024236240935e-09,1.2164635965206116e-10,2.6702513533649608e-09,2.9854456735307296e-23,2.9854456735307296e-23,0.0,0.0,1.2164635965206116e-10,2.6702513533649608e-09,1.2164635965209102e-10,2.670251436632335e-09,-2.985605023433584e-23,-8.326737411571606e-17,1.9738294332327655e-09,4.878532089414023e-08,2.2466051346083108e-05,2.2466051346083108e-05,0.9419480959574381
0.002300000051036477,0.002171458676457405,0.0021715129259973764,2.7939677238464355e-09,5.4249539971351624e-08,1.2166873064600736e-10,2.7919710987589497e-09,1.216796524650121e-10,2.791931130730063e-09,2.989780937521462e-23,2.989780937521462e-23,0.0,0.0,1.216796524650121e-10,2.791931130730063e-09,1.2167965246504202e-10,2.7919310890973768e-09,-2.9907749022620407e-23,4.1632686376111996e-17,2.6722880713814234e-09,5.145760884062156e-08,2.369666246264091e-05,2.369666246264091e-05,0.9564491560061773
0.002400000113993883,0.0021714563481509686,0.0021715129259973764,2.3283064365386963e-09,5.657784640789032e-08,1.2169412699769566e-10,2.913665309023372e-09,1.2168928364975073e-10,2.9136202339685724e-09,2.994123774576885e-23,2.994123774576885e-23,0.0,0.0,1.2168928364975073e-10,2.9136202339685724e-09,1.2168928364978067e-10,2.9136203727471573e-09,-2.993359841676269e-23,-1.38778584903978e-16,2.2066171528889456e-09,5.366422617392175e-08,2.4712828338000225e-05,2.4712828338000225e-05,0.9477348506450654
