closure_abs_end,closure_abs_max,closure_abs_start,field_loss_increment_J,ionization_plus_ib_increment_J,raman_actual_increment_J,raman_target_increment_J,records,segment,total_accounted_increment_J,unaccounted_boundary_filter_or_numerical_increment_J,z_end_m,z_start_m
0.008619770482246596,0.008619770482246596,1.0164329484886254e-06,6.954045966267586e-05,3.463174360911318e-05,1.619077388112511e-05,1.6190754271311336e-05,8499,pre_focus,5.082251750562761e-05,1.871794215704825e-05,0.8499000072479248,9.999999747378752e-05
0.012044126022869913,0.012044126022869913,0.008620593064315021,5.3906580433249474e-05,3.1033835168204314e-05,1.543670891146487e-05,1.5436762542675453e-05,4000,near_focus,4.647054403028594e-05,7.436036402963531e-06,1.0499500036239624,0.8500000238418579
0.014176516743495496,0.014176516743495496,0.012044926825779704,1.337612047791481e-05,7.423089586084536e-07,8.003300503878208e-06,8.003355449037741e-06,2501,post_focus,8.745609469062998e-06,4.630511008851812e-06,1.2999999523162842,1.0500500202178955
