x_focus_cm,rho_1e16_cm3
-15.254688111762839,0.11373136682702878
-15.184904543090546,0.11373136682702878
-15.115120974418254,0.11373136682702878
-15.045337405745968,0.13149301995424878
-14.975553837073676,0.13149301995424878
-14.905770268401383,0.14925467308146523
-14.83598669972909,0.14925467308146523
-14.766203131056798,0.16701632620868523
-14.696419562384513,0.18477797933590168
-14.62663599371222,0.22030128559033813
-14.556852425039928,0.2735862449719946
-14.487068856367635,0.32687120435364747
-14.41728528769535,0.3801561637353039
-14.347501719023057,0.4334411231169568
-14.277718150350765,0.5400110418802662
-14.207934581678472,0.6288193075163591
-14.13815101300618,0.7531508794068849
-14.068367444333894,0.8952441044246306
-13.998583875661602,1.072860635696813
-13.92880030698931,1.2860004732234351
-13.859016738317017,1.4991403107500538
-13.789233169644731,1.730041801403889
-13.719449600972439,1.978704945184944
-13.649666032300146,2.2628913952204357
-13.579882463627854,2.547077845255931
-13.510098894955561,2.8845492546730753
-13.440315326283276,3.186497357835787
-13.370531757610983,3.488445460998495
-13.300748188938691,3.7903935641612065
-13.230964620266398,4.074580014196698
-13.161181051594106,4.394289770486626
-13.09139748292182,4.731761179903774
-13.021613914249528,5.015947629939266
-12.951830345577235,5.193564161211448
-12.882046776904943,5.317895733101977
-12.812263208232658,5.655367142519122
-12.742479639560365,5.868506980045741
-12.672696070888072,5.99283855193627
-12.60291250221578,6.081646817572359
-12.533128933543487,6.134931776954016
-12.463345364871202,6.348071614480634
-12.39356179619891,6.365833267607854
-12.323778227526617,6.383594920735071
-12.253994658854324,6.419118226989507
-12.184211090182039,6.454641533243944
-12.114427521509747,6.436879880116727
-12.044643952837454,6.419118226989507
-11.974860384165162,6.401356573862291
-11.905076815492869,6.419118226989507
-11.835293246820584,6.401356573862291
-11.765509678148291,6.312548308226198
-11.695726109475999,6.2770250019717615
-11.625942540803706,6.241501695717325
-11.55615897213142,6.241501695717325
-11.486375403459128,6.241501695717325
-11.416591834786836,6.170455083208452
-11.346808266114543,6.081646817572359
-11.27702469744225,6.046123511317923
-11.207241128769965,6.081646817572359
-11.137457560097673,6.081646817572359
-11.06767399142538,6.028361858190706
-10.997890422753088,5.97507689880905
-10.928106854080802,5.921791939427397
-10.85832328540851,5.9395535925546135
-10.788539716736217,5.97507689880905
-10.718756148063925,5.904030286300177
-10.648972579391632,5.868506980045741
-10.579189010719347,5.779698714409651
-10.509405442047054,5.797460367536868
-10.439621873374762,5.832983673791304
-10.36983830470247,5.761937061282431
-10.300054736030184,5.726413755027995
-10.230271167357891,5.673128795646342
-10.160487598685599,5.619843836264685
-10.090704030013306,5.673128795646342
-10.020920461341014,5.637605489391905
-9.951136892668728,5.619843836264685
-9.881353323996436,5.584320530010249
-9.811569755324143,5.531035570628596
-9.74178618665185,5.5487972237558125
-9.672002617979565,5.49551226437416
-9.602219049307273,5.459988958119723
-9.53243548063498,5.424465651865287
