case,source,feature,value
40 fs,paper_pycap_digitized,peak_to_10pct_falling_cm,10.071962865566984
40 fs,paper_pycap_digitized,fall_10_90_width_cm,8.101252575351438
40 fs,paper_pycap_digitized,post_focus_tail_area_1e16_cm3_cm,21.391873104697446
40 fs,current_ft90_npz,peak_rho_1e16_cm3,3.0430261983988833
40 fs,current_ft90_npz,x_argmax_cm,-11.089999675750729
40 fs,current_ft90_npz,peak_interval_left_cm,-11.490000486373898
40 fs,current_ft90_npz,peak_interval_right_cm,-10.670001506805416
40 fs,current_ft90_npz,peak_interval_center_cm,-11.080000996589657
40 fs,current_ft90_npz,peak_interval_width_cm,0.8199989795684814
40 fs,current_ft90_npz,area_1e16_cm3_cm,41.38253153512966
40 fs,current_ft90_npz,absolute_0.1_rising_cm,-16.2274845153502
40 fs,current_ft90_npz,absolute_0.2_rising_cm,-15.542469526096063
40 fs,current_ft90_npz,absolute_0.5_rising_cm,-14.884638919052865
40 fs,current_ft90_npz,absolute_1_rising_cm,-14.380079209947876
40 fs,current_ft90_npz,absolute_2_rising_cm,-13.662075229697152
40 fs,current_ft90_npz,relative_0.05_rising_cm,-15.786540523120998
40 fs,current_ft90_npz,relative_0.05_falling_cm,6.332845676649816
40 fs,current_ft90_npz,relative_0.1_rising_cm,-15.228923167887125
40 fs,current_ft90_npz,relative_0.1_falling_cm,5.15834462064344
40 fs,current_ft90_npz,relative_0.25_rising_cm,-14.587336402210617
40 fs,current_ft90_npz,relative_0.25_falling_cm,3.4410492138401683
40 fs,current_ft90_npz,relative_0.5_rising_cm,-14.001690616125172
40 fs,current_ft90_npz,relative_0.5_falling_cm,1.0662383021165003
40 fs,current_ft90_npz,relative_0.75_rising_cm,-13.43335970747666
40 fs,current_ft90_npz,relative_0.75_falling_cm,-5.186982378268123
40 fs,current_ft90_npz,relative_0.9_rising_cm,-12.86011381663077
40 fs,current_ft90_npz,relative_0.9_falling_cm,-8.559259431439537
40 fs,current_ft90_npz,rise_10_90_cm,2.3688093512563544
40 fs,current_ft90_npz,fwhm_cm,15.067928918241673
40 fs,current_ft90_npz,peak_to_50pct_falling_cm,12.146239298706158
40 fs,current_ft90_npz,peak_to_10pct_falling_cm,16.238345617233097
40 fs,current_ft90_npz,fall_10_90_width_cm,13.717604052082978
40 fs,current_ft90_npz,post_focus_tail_area_1e16_cm3_cm,32.388423299918074
