case_id,label,kind,Nx,Ny,Lx_m,Ly_m,x_vac_cm,z_vac_m,I_peak_W_m2,focus_axial_sampling_uncertainty_cm,power_drift,max_boundary_power_fraction,input_power_W,input_second_moment_radius_m,input_r50_m,input_r90_m,effective_area_m2,flat_radius_m,zero_radius_m,nominal_radius_scale,fresnel_delta_cm,delta_x_vac_vs_P1_cm,closure_epsilon_120_cm,closure_epsilon_40_cm
P1_current_ft90,P1 current FT90,profile,512,512,0.008,0.008,-4.073967717774451,0.9092603228222554,3.6417997113032704e+17,0.0125,2.714776113173541e-07,2.4971827649965874e-05,17000000000.0,0.0018825141432040635,0.0013295029616364154,0.001783715399103792,1.11100647058043e-05,0.0017810999999999999,0.001979,1.0,nan,0.0,-2.588853860883189,-3.269598860979032
P2_zero_at_90_narrow,"P2 zero at 0.9R, narrow",profile,512,512,0.008,0.008,-6.987581168833601,0.880124188311664,3.010612303385723e+17,0.0125,3.2923294280557087e-07,2.2456321066787455e-05,16999999999.999992,0.0016849032457543936,0.0011899645477912357,0.0015961990986402667,8.895366347375294e-06,0.0015831999999999999,0.0017810999999999999,1.0,nan,-2.91361345105915,-5.502467311942339,-6.183212312038181
P3_zero_at_90_wide,"P3 zero at 0.9R, wide",profile,512,512,0.008,0.008,-7.002712981760661,0.8799728701823933,2.8922804217829786e+17,0.0125,3.111040095160988e-07,5.375426064295086e-06,17000000000.000006,0.001594852878761316,0.0011216312409276946,0.001515705539097222,7.897779509313385e-06,0.0013853,0.0017810999999999999,1.0,nan,-2.92874526398621,-5.517599124869399,-6.198344124965242
P4_hard_top_R,P4 hard top R,profile,512,512,0.008,0.008,-4.634744196701501,0.9036525580329849,3.8234534821075354e+17,0.0125,2.950900344848633e-07,0.00027029607430180896,16999999999.999998,0.0019791641334559688,0.001399288323577382,0.0018781873949702144,1.2305908203125001e-05,0.001979,0.001979,1.0,nan,-0.5607764789270497,-3.1496303398102388,-3.8303753399060816
P5_hard_top_0p9R,P5 hard top 0.9R,profile,512,512,0.008,0.008,-5.1888818665336895,0.8981111813346631,3.1753752563050086e+17,0.0125,2.9770743426154646e-07,0.00031967846094025894,16999999999.999996,0.001780047636986166,0.0012594370332116647,0.001688657010763287,9.954345703125001e-06,0.0017810999999999999,0.0017810999999999999,1.0,nan,-1.1149141487592384,-3.7037680096424275,-4.384513009738271
P6_P2_second_moment_matched,"P6 P2 cosine, second-moment matched to P1",profile,512,512,0.008,0.008,-4.6837659381554815,0.9031623406184451,3.662542208907018e+17,0.0125,2.930601335413317e-07,1.5897703179820717e-05,16999999999.999994,0.0018825141432040628,0.0013295029616364154,0.0017832362828927076,1.110428157480456e-05,0.0017688830854725543,0.0019899934711566235,1.1172834041640693,nan,-0.6097982203810304,-3.1986520812642194,-3.8793970813600622
P1_current_ft90_coarse,P1_current_ft90_coarse,convergence,256,256,0.008,0.008,-4.057142857079777,0.9094285714292022,3.640318465504952e+17,0.0125,2.5484867208144247e-07,3.651588684066152e-05,17000000000.0,0.0018825117341230851,0.0013287682265918312,0.001783715399103792,1.1110047621366264e-05,0.0017810999999999999,0.001979,1.0,nan,0.01682486069467437,-2.5720290001885147,-3.2527740002843575
P1_current_ft90_refined,P1_current_ft90_refined,convergence,1024,1024,0.008,0.008,-4.070428571481822,0.9092957142851817,3.642044101884641e+17,0.0125,4.3264668464660646e-07,1.3894503255801887e-05,17000000000.0,0.0018825139764650166,0.0013295947749690504,0.001784006228312068,1.1110062403856842e-05,0.0017810999999999999,0.001979,1.0,nan,0.0035391462926295247,-2.5853147145905595,-3.2660597146864023
P1_current_ft90_window10mm,P1_current_ft90_window10mm,convergence,640,640,0.01,0.01,-4.502569444481475,0.9049743055551852,3.638995842326528e+17,0.0125,2.1822384093789492e-07,5.046826788920451e-06,17000000000.0,0.0018825141432040635,0.0013295029616364154,0.001783715399103792,1.11100647058043e-05,0.0017810999999999999,0.001979,1.0,nan,-0.4286017267070239,-3.017455587590213,-3.6982005876860558
