case,fwhm_cm,peak_top_center_cm,peak_x_cm,rho_peak_m3,rmse_vs_pycap,tail_area_above_half_m3_cm
production,12.075501620625838,-14.405001401901242,-14.440001249313351,6.460902306022546e+22,1.8723185068331606e+22,1.6659067815088284e+23
raman_off,12.841942864692358,-10.269997715950009,-10.329998731613156,2.4977816965526158e+22,2.144254368153124e+22,6.596420139476342e+22
historical_fr_mixture,13.61661849581767,-9.680001139640805,-9.854997396469113,2.034969956385831e+22,2.443401814857123e+22,5.71093666462857e+22
pycap,8.73799136602939,-12.044643952837454,-12.184211090182039,6.4546415332439435e+22,0.0,1.3525016584404954e+23
