error_historical_fr_mixture_to_pycap_cm,error_production_to_pycap_cm,error_raman_off_to_pycap_cm,family,onset_shift_mixture_minus_production_cm,threshold,x_historical_fr_mixture_cm,x_production_cm,x_pycap_cm,x_raman_off_cm
,,,rho_total,-0.05291379570456911,1e+19,-19.24691231288658,-19.19399851718201,,-19.24839206100622
,,,rho_total,0.49746954430321466,1e+20,-17.82963146823811,-18.327101012541323,,-17.90914718647249
,,,rho_total,1.5067316613197512,1e+21,-15.791170549320327,-17.29790221064008,,-16.044769277185907
0.6322023994164176,2.3846905676863113,0.013574341953038527,rho_total,3.016892967102729,1e+22,-13.395007613340857,-16.411900580443586,-14.027210012757275,-14.013635670804236
